accident_type,risk_id,mapping_basis
익수위험,RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양(익수위험),RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
음주/해양(익수위험),RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양사고,RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해상사고,RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양위험,RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양,RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양(이안류),RP_DROWN_01,유형명 직접 대응(검토·수정 가능)
해양(파고),RP_WAVE_02,유형명 직접 대응(검토·수정 가능)
풍랑,RP_WAVE_02,유형명 직접 대응(검토·수정 가능)
만조,RP_WAVE_02,유형명 직접 대응(검토·수정 가능)
너울,RP_WAVE_02,유형명 직접 대응(검토·수정 가능)
길잃음,RP_LOST_01,유형명 직접 대응(검토·수정 가능)
길 잃음,RP_LOST_01,유형명 직접 대응(검토·수정 가능)
낙석/붕괴,RP_ROCKFALL_01,유형명 직접 대응(검토·수정 가능)
자연환경(낙석),RP_ROCKFALL_01,유형명 직접 대응(검토·수정 가능)
싱크홀,RP_ROCKFALL_01,유형명 직접 대응(검토·수정 가능)
산악사고,RP_MOUNTAIN_01,유형명 직접 대응(검토·수정 가능)
무리산행,RP_MOUNTAIN_01,유형명 직접 대응(검토·수정 가능)
화재/폭발,RP_FIRE_01,유형명 직접 대응(검토·수정 가능)
화재위험,RP_FIRE_01,유형명 직접 대응(검토·수정 가능)
교통위험,RP_TRAFFIC_01,유형명 직접 대응(검토·수정 가능)
시설/차량충돌,RP_TRAFFIC_01,유형명 직접 대응(검토·수정 가능)
시설/인프라(교통위험),RP_TRAFFIC_01,유형명 직접 대응(검토·수정 가능)
해양생물,RP_ANIMAL_01,유형명 직접 대응(검토·수정 가능)
해파리,RP_ANIMAL_01,유형명 직접 대응(검토·수정 가능)
말벌,RP_ANIMAL_01,유형명 직접 대응(검토·수정 가능)
복어,RP_ANIMAL_01,유형명 직접 대응(검토·수정 가능)
자연환경/야생동물,RP_ANIMAL_01,유형명 직접 대응(검토·수정 가능)
농기계 사고,RP_MACHINE_01,유형명 직접 대응(검토·수정 가능)
무더위,RP_HEAT_02,유형명 직접 대응(검토·수정 가능)
혼잡위험,RP_CROWD_01,유형명 직접 대응(검토·수정 가능)
야간위험,RP_NIGHT_01,유형명 직접 대응(검토·수정 가능)
추락,RP_FALL_CLIFF,"뉴스=기사화된 중대 추락사고, 절벽·노출지형 구조적 위험"
지형/노면(낙상),RP_SLIP_TERRAIN,노면 기인 낙상
미끄럼/낙상,RP_SLIP_TERRAIN,노면 기인 미끄럼
지형/노면(미끄럼),RP_SLIP_TERRAIN,노면 기인 미끄럼
낙상,RP_SLIP_TERRAIN,노면 기인 낙상
경사,RP_SLIP_TERRAIN,경사 구간 낙상
비포장노면,RP_SLIP_TERRAIN,비포장 노면 낙상
골절,RP_SLIP_TERRAIN,낙상 결과 유형
지형/노면(계단위험),RP_SLIP_TERRAIN,계단 구간 낙상
