placeId,name,categoryMid,recommendForMobility,recommendForVisual,recommendForHearing
P037,정방폭포,지질·특수자원,N,UNKNOWN,UNKNOWN
P071,노형수퍼마켙,전시시설,N,UNKNOWN,UNKNOWN
P085,용눈이오름,산·오름,N,UNKNOWN,UNKNOWN
P102,검멀레해수욕장,해양,N,UNKNOWN,UNKNOWN
P119,제주워터월드,전시시설,N,UNKNOWN,UNKNOWN
P129,부소오름,산·오름,N,UNKNOWN,UNKNOWN
P130,북오름,산·오름,N,UNKNOWN,UNKNOWN
P136,서귀본향당,문화유산,N,UNKNOWN,UNKNOWN
P144,이중섭거주지,문화유산,N,UNKNOWN,UNKNOWN
P146,서우봉,산·오름,N,UNKNOWN,UNKNOWN
P147,함덕오일장,시장,N,UNKNOWN,UNKNOWN
P148,엉덩물계곡,지질·특수자원,N,UNKNOWN,UNKNOWN
P171,기독교순례길 2코스(순교의길),트레일·산책로,N,UNKNOWN,UNKNOWN
P183,이덕구산전,문화유산,N,UNKNOWN,UNKNOWN
P184,선족이오름,산·오름,N,UNKNOWN,UNKNOWN
P185,김만덕객주,식음료,N,UNKNOWN,UNKNOWN
P189,삼의악트레킹코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P191,대수산봉(큰물뫼·물미오름),산·오름,N,UNKNOWN,UNKNOWN
P199,쌍용굴(한림공원),지질·특수자원,N,UNKNOWN,UNKNOWN
P200,협재굴(한림공원),지질·특수자원,N,UNKNOWN,UNKNOWN
P201,세미오름(샘이오름),산·오름,N,UNKNOWN,UNKNOWN
P205,용둠범목제계단길,자연경관,N,UNKNOWN,UNKNOWN
P207,세미양오름,산·오름,N,UNKNOWN,UNKNOWN
P209,정모시쉼터,자연경관,N,UNKNOWN,UNKNOWN
P216,넙게오름,산·오름,N,UNKNOWN,UNKNOWN
P221,대정현역사자료전시관,전시시설,N,UNKNOWN,UNKNOWN
P223,영주산,산·오름,N,UNKNOWN,UNKNOWN
P224,월나봉(도래오름),산·오름,N,UNKNOWN,UNKNOWN
P228,제주올레 11코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P234,소남머리,자연경관,N,UNKNOWN,UNKNOWN
P240,윗밤오름,산·오름,N,UNKNOWN,UNKNOWN
P244,검멀레동굴,지질·특수자원,N,UNKNOWN,UNKNOWN
P253,상추자마을길,문화유산,N,UNKNOWN,UNKNOWN
P255,부대악오름,산·오름,N,UNKNOWN,UNKNOWN
P260,한라산어리목코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P262,삼각봉,산·오름,N,UNKNOWN,UNKNOWN
P265,배령연대,문화유산,N,UNKNOWN,UNKNOWN
P267,제주기독교순례길,트레일·산책로,N,UNKNOWN,UNKNOWN
P268,기독교순례길 1코스(순종의길),트레일·산책로,N,UNKNOWN,UNKNOWN
P272,봉골레산,산·오름,N,UNKNOWN,UNKNOWN
P284,범섬,해양,N,UNKNOWN,UNKNOWN
P303,황금굴(한림공원),지질·특수자원,N,UNKNOWN,UNKNOWN
P307,개월이 오름,산·오름,N,UNKNOWN,UNKNOWN
P309,장생의 숲길,트레일·산책로,N,UNKNOWN,UNKNOWN
P315,9연대 본부 옛터,문화유산,N,UNKNOWN,UNKNOWN
P316,고내봉(고내오름+고니오름+ 망오름),산·오름,N,UNKNOWN,UNKNOWN
P323,소수산봉(족은물뫼),산·오름,N,UNKNOWN,UNKNOWN
P324,오조리조개체험어장,액티비티,N,UNKNOWN,UNKNOWN
P325,제주올레 16코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P326,제주올레 21코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P350,제주불교성지 순례길 절로 가는길 - 지계의 길,트레일·산책로,N,UNKNOWN,UNKNOWN
P359,황우지해안,해양,N,UNKNOWN,UNKNOWN
P363,그린크루즈(산방산유람선),관광체험,N,UNKNOWN,UNKNOWN
P364,미천굴,지질·특수자원,N,UNKNOWN,UNKNOWN
P366,서영아리오름/용와이오름,산·오름,N,UNKNOWN,UNKNOWN
P372,황우지해안 열두굴,해양,N,UNKNOWN,UNKNOWN
P373,개오리오름,산·오름,N,UNKNOWN,UNKNOWN
P379,보리오름,산·오름,N,UNKNOWN,UNKNOWN
P380,산방굴사,문화유산,N,UNKNOWN,UNKNOWN
P382,최영장군사당,문화유산,N,UNKNOWN,UNKNOWN
P390,독자봉,산·오름,N,UNKNOWN,UNKNOWN
P391,동알오름,산·오름,N,UNKNOWN,UNKNOWN
P399,기독교순례길 4코스(화해의길),트레일·산책로,N,UNKNOWN,UNKNOWN
P404,사라오름,산·오름,N,UNKNOWN,UNKNOWN
P407,입산봉(삿갓오름),산·오름,N,UNKNOWN,UNKNOWN
P415,제주올레 14-1코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P419,남원 위미2리 어촌계,자연경관,N,UNKNOWN,UNKNOWN
P424,통오름,산·오름,N,UNKNOWN,UNKNOWN
P436,민악,산·오름,N,UNKNOWN,UNKNOWN
P437,민오름(오라동),산·오름,N,UNKNOWN,UNKNOWN
P448,임문숙 가족 헛묘,문화유산,N,UNKNOWN,UNKNOWN
P449,제주올레 20코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P452,도너리오름,산·오름,N,UNKNOWN,UNKNOWN
P454,오백나한,자연경관,N,UNKNOWN,UNKNOWN
P456,제주불교성지 순례길 절로 가는길 - 정진의 길,트레일·산책로,N,UNKNOWN,UNKNOWN
P458,종달리해안도로,트레일·산책로,N,UNKNOWN,UNKNOWN
P460,추자등대,해양,N,UNKNOWN,UNKNOWN
P466,병악,산·오름,N,UNKNOWN,UNKNOWN
P467,삼다수숲길 지질트레일 3코스,트레일·산책로,N,UNKNOWN,UNKNOWN
P491,베릿네오름,산·오름,N,UNKNOWN,UNKNOWN
P497,감수굴 밭담길,트레일·산책로,N,UNKNOWN,UNKNOWN
P498,금악오름(왕매),산·오름,N,UNKNOWN,UNKNOWN
P499,명월성지,문화유산,N,UNKNOWN,UNKNOWN
P503,제주올레 9코스,트레일·산책로,N,UNKNOWN,UNKNOWN
