placeId,fix,field,before,after,reason
P002,FIX65,visualAccess,UNKNOWN,PARTIAL,helpdog=동반가능_시각장애인 편의시설
P003,FIX65,visualAccess,UNKNOWN,PARTIAL,helpdog=동반 가능_시각장애인 편의시설
P005,FIX65,visualAccess,UNKNOWN,FULL,brailepromotion=매표소에 점자홍보물 있음; helpdog=동반가능; guidehuman=관광해설사 안내 가능
P006,FIX65,visualAccess,UNKNOWN,PARTIAL,braileblock=점자블록 있음(모살밭회관 오른쪽 공중화장실)_시각장애인 편의시설
P023,FIX65,visualAccess,UNKNOWN,PARTIAL,"braileblock=객실 진입로, 건물 출입구, 계단; helpdog=안내견 동반가능; guidehuman=프론트 직원 대기."
P046,FIX65,visualAccess,UNKNOWN,PARTIAL,blindhandicapetc=안내요원 있음(하루 4회)
P047,FIX65,visualAccess,UNKNOWN,FULL,braileblock=점자블록 있음(주요시설 앞)_시각장애인 편의시설; helpdog=동반가능; guidehuman=안내요원 있음
P063,FIX65,visualAccess,UNKNOWN,PARTIAL,blindhandicapetc=점자블록 있음
P065,FIX65,visualAccess,UNKNOWN,FULL,braileblock=점자유도로 있음_시각장애인 편의시설; audioguide=음성안내기 있음; guidehuman=전시해설자 있음
P068,FIX65,visualAccess,UNKNOWN,PARTIAL,guidehuman=안내데스크에서 도움 가능
P075,FIX65,visualAccess,UNKNOWN,PARTIAL,braileblock=점자블록 있음(주요시설 앞)_시각장애인 편의시설
P101,FIX65,visualAccess,UNKNOWN,FULL,audioguide=오디오가이드 있음; helpdog=동반가능; guidehuman=전시해설자 있음(문화해설)
P120,FIX65,visualAccess,UNKNOWN,PARTIAL,guidehuman=안내요원 있음_시각장애인 편의시설
P160,FIX65,visualAccess,UNKNOWN,PARTIAL,helpdog=안내견 동반 가능
P161,FIX65,visualAccess,UNKNOWN,PARTIAL,helpdog=안내견 동반 가능
P166,FIX65,visualAccess,UNKNOWN,FULL,helpdog=보조견 동반 가능함; guidehuman=안내요원 있음
P166,FIX65,disabledToilet,UNKNOWN,PARTIAL,restroom=장애인 화장실 있음
P169,FIX65,visualAccess,UNKNOWN,PARTIAL,braileblock=건물 출입구 앞
P175,FIX65,visualAccess,UNKNOWN,FULL,audioguide=오디오가이드 있음; helpdog=동반가능; guidehuman=전시해설자 있음(문화해설)
P195,FIX65,visualAccess,UNKNOWN,PARTIAL,helpdog=동반가능_시각장애인 편의시설
P214,FIX65,visualAccess,UNKNOWN,PARTIAL,braileblock=점자블록 있음(화장실 앞)_시각장애인 편의시설
