harborName,harborType,address,validity,placeId,matchType,reviewFlag,harborConfidence,kgName
위미항,국가어항,"서귀포시 남원읍 위미리, 위미중앙로196번길 6-13",**A/C**. 현행 국가어항. 고시일과 공단 지정일 불일치,P495,STEM,,CONFIRMED,위미항
모슬포항,국가어항,"서귀포시 대정읍 하모리, 하모항구로 30","**A**. 현행 등재, 해제 기록 미발견",P081,STEM,,CONFIRMED,모슬포항
신양항,국가어항,"제주시 추자면, 추자로 576-4",**A/C**. 현행 국가어항이나 인근 주소의 지방어항 신양항과 중복 검증 필요,P281,STEM,,CONFIRMED,신양포구
도두항,국가어항,"제주시 도두동, 도공로 2","**A**. 현행 등재, 해제 기록 미발견",P239,STEM,,CONFIRMED,도두항
김녕항,국가어항,"제주시 구좌읍 김녕리, 구좌해안로 229-16",**A/C**. 현행 국가어항. 고시일과 공단 지정일 불일치,P446,STEM,,CONFIRMED,김녕항
귀덕1리항,지방어항,"제주시 한림읍 귀덕리, 귀덕11길 23-3",**B**. 현행 지방어항 목록 등재,,,,UNMATCHED,
신창항,지방어항,"제주시 한경면 신창리, 신창3길 12",**B**. 현행 등재,P367,STEM,,CONFIRMED,신창리포구
고산항,지방어항,"제주시 한경면 고산리, 노을해안로 1161",**B**. 현행 등재,,,,UNMATCHED,
신양항,지방어항,"제주시 추자면, 추자로 576-15",**C**. 국가어항 신양항의 주소와 매우 인접; 어항구역·항종 중복 검증 필요,P281,STEM,국가어항 신양항과 어항구역 중복 검증 필요(보고서 C판정),CONFIRMED,신양포구
화북항,지방어항,"제주시 화북동, 진북길 13",**B**. 현행 등재,,,,UNMATCHED,
조천항,지방어항,"제주시 조천읍 조천리, 조천북1길 35-8",**B**. 현행 등재,,,,UNMATCHED,
우도항,지방어항,"제주시 우도면, 우도해안길 73",**B**. 현행 등재,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
하귀1리항,지방어항,"제주시 애월읍 하귀1리, 하귀1리 1624-6",**B**. 현행 등재,,,,UNMATCHED,
종달항,지방어항,"제주시 구좌읍 종달리, 해맞이해안로 2276",**B**. 현행 등재,,,,UNMATCHED,
세화항,지방어항,"제주시 구좌읍 세화리, 세화리 1500-65",**B/C**. 과거 국가어항 해제 후 지방어항 전환 여부·시점 확인 필요,P895,STEM,,CONFIRMED,세화항
표선항,지방어항,"서귀포시 표선면 표선리, 표선당포로 16-7",**B**. 현행 등재,,,,UNMATCHED,
사계항,지방어항,"서귀포시 안덕면 사계리, 형제해안로 13",**B**. 현행 등재,P153,STEM,,CONFIRMED,사계항
하효항,지방어항,"서귀포시 하효동, 쇠소깍로 151-10",**B**. 현행 등재,,,,UNMATCHED,
신천항,지방어항,"서귀포시 성산읍 신천리, 신천서로 87",**B**. 현행 등재,,,,UNMATCHED,
강정항,지방어항,"서귀포시 강정동, 말질로 291",**B**. 현행 등재,,,,UNMATCHED,
법환항,지방어항,"서귀포시 법환동, 막숙포로41번길 7",**B**. 현행 등재,P438,STEM,,CONFIRMED,법환포구
대포항,지방어항,"서귀포시 대포동, 대포로 172-8",**B**. 현행 등재,P520,STEM,,CONFIRMED,대포포구
가파항,지방어항,"서귀포시 대정읍 가파리, 가파로 68",**B**. 현행 등재,,,,UNMATCHED,
태흥2리항,지방어항,"서귀포시 남원읍 태흥2리, 남태해안로 509",**B**. 현행 등재,,,동명/인접 항 중복 — 수동 확인 필요,REVIEW,
귀덕2항,어촌정주어항,"제주시 한림읍 귀덕리, 한림해안로 630",**B**. 현행 목록 등재,,,,UNMATCHED,
용운동항,어촌정주어항,"제주시 한림읍, 한림해안로 474",**B**,,,,UNMATCHED,
옹포항,어촌정주어항,"제주시 한림읍 옹포리, 한림로 485",**B**,,,,UNMATCHED,
협재항,어촌정주어항,"제주시 한림읍 협재리, 협재1길 47",**B**,P340,STEM,,CONFIRMED,협재포구
금능항,어촌정주어항,"제주시 한림읍 금능리, 금능9길 23",**B**,P218,STEM,,CONFIRMED,금능포구
월령항,어촌정주어항,"제주시 한림읍 월령리, 월령3길 36",**B**,P318,STEM,,CONFIRMED,월령포구
미수동항,어촌정주어항,"제주시 애월읍 하귀리, 하귀미수동길 77",**B**,,,,UNMATCHED,
가문동항,어촌정주어항,"제주시 애월읍, 가문동길 77",**B**,,,,UNMATCHED,
구엄항,어촌정주어항,"제주시 애월읍 구엄리, 구엄4길 43",**B**,P362,STEM,,CONFIRMED,구엄포구
신엄항,어촌정주어항,"제주시 애월읍 신엄리, 엄장로 184",**B**,,,,UNMATCHED,
고내항,어촌정주어항,"제주시 애월읍 고내리, 고내5길 4",**B**,P374,STEM,,CONFIRMED,고내리포구
곽지항,어촌정주어항,"제주시 애월읍 곽지리, 곽지11길 27",**B**,,,,UNMATCHED,
금성항,어촌정주어항,"제주시 애월읍 금성리, 금성1길 30",**B**,P489,STEM,,CONFIRMED,금성포구
하도항,어촌정주어항,"제주시 구좌읍 하도리, 해맞이해안로 1708",**B**,,,,UNMATCHED,
평대항,어촌정주어항,"제주시 구좌읍 평대리, 해맞이해안로 1155",**B**,,,,UNMATCHED,
한동항,어촌정주어항,"제주시 구좌읍 한동리, 해맞이해안로 990",**B**,,,,UNMATCHED,
행원항,어촌정주어항,"제주시 구좌읍 행원리, 행원로7길 23",**B**,,,,UNMATCHED,
월정항,어촌정주어항,"제주시 구좌읍 월정리, 해맞이해안로 428",**B**,,,,UNMATCHED,
동김녕항,어촌정주어항,"제주시 구좌읍 김녕리, 김녕로17길 25",**B**,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
동복항,어촌정주어항,"제주시 구좌읍 동복리, 동복로3길 21",**B**,,,,UNMATCHED,
북촌항,어촌정주어항,"제주시 조천읍 북촌리, 북촌리7길 37",**B**,P892,STEM,,CONFIRMED,북촌포구
함덕항,어촌정주어항,"제주시 조천읍 함덕리, 조함해안로 441",**B**,,,,UNMATCHED,
신촌항,어촌정주어항,"제주시 조천읍 신촌리, 신촌3길 39",**B**,P899,STEM,,CONFIRMED,신촌포구
신흥항,어촌정주어항,"제주시 조천읍 신흥리, 조함해안로 329",**B**. 서귀포시 남원읍 동명항과는 별개,,,,UNMATCHED,
판포항,어촌정주어항,"제주시 한경면 판포리, 일주서로 4549",**B**,P060,STEM,,CONFIRMED,판포포구
두모항,어촌정주어항,"제주시 한경면 두모리, 두모5길 일원",**B**. 공개 주소에 건물번호 없음,,,,UNMATCHED,
용당항,어촌정주어항,"제주시 한경면 용당리, 용수리 3895-1로 공개",**B/C**. 항명과 공개 지번의 리 명칭 대조 필요,,,,UNMATCHED,
용수항,어촌정주어항,"제주시 한경면 용수리, 용수3길 24",**B**,P893,STEM,,CONFIRMED,용수포구
삼양1동항,어촌정주어항,"제주시 삼양1동, 서흘1길 71",**B**,,,,UNMATCHED,
삼양3동항,어촌정주어항,"제주시 삼양3동, 벌렁길 82",**B**,,,,UNMATCHED,
용담3동항,어촌정주어항,"제주시 용담3동, 용담삼동 1064-14",**B**,,,,UNMATCHED,
도두사수항,어촌정주어항,"제주시 도두동, 도리로 254",**B**,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
이호1동항,어촌정주어항,"제주시 이호1동, 서해안로 99",**B**,,,,UNMATCHED,
이호현사항,어촌정주어항,"제주시 이호동, 테우해안로 144",**B**,,,별개 항 — KG 미등재 또는 수동 확인 필요,REVIEW,
