rule_code,factor_code,factor_name,unit,level,min_value,max_value,min_offset_minutes,max_offset_minutes,action,context_type,target_scope,description,official_standard
TR_WIND_01,WIND,풍속,m/s,NORMAL,0.0,7.0,,,ALLOW,all,전반,0~7 m/s: 정상,
TR_WIND_02,WIND,풍속,m/s,CAUTION,7.0,10.0,,,CAUTION_ACT,all,해안·오름·노출구간,7~10 m/s: 노출구간 사전주의,
TR_WIND_03,WIND,풍속,m/s,DANGER,10.0,14.0,,,AVOID,all,해안·오름·노출구간,10~14 m/s: 회피 후보,
TR_WIND_04,WIND,풍속,m/s,ALERT_ADVISORY,14.0,21.0,,,CONTROL,all,전반,강풍주의보 발효 구간,강풍주의보: 풍속 14m/s 이상 또는 순간풍속 20m/s 이상
TR_WIND_05,WIND,풍속,m/s,ALERT_WARNING,21.0,,,,CONTROL,all,전반,강풍경보 발효 구간,강풍경보: 풍속 21m/s 이상 또는 순간풍속 26m/s 이상
TR_RAIN_01,RAIN,시간당 강수량,mm/h,NORMAL,0.0,3.0,,,ALLOW,all,전반,0~3 mm/h: 정상,
TR_RAIN_02,RAIN,시간당 강수량,mm/h,CAUTION,3.0,10.0,,,CAUTION_ACT,all,트레킹·오름·계곡,3~10 mm/h: 준비물 안내,
TR_RAIN_03,RAIN,시간당 강수량,mm/h,DANGER,10.0,20.0,,,AVOID,all,트레킹·오름·계곡,10~20 mm/h: 회피 권고,
TR_RAIN_04,RAIN,시간당 강수량,mm/h,DANGER,20.0,,,,CONTROL,all,전반·계곡·세월교,20 mm/h 이상: 이동 자제·즉시 회피,"호우특보는 누적기준(주의보 3h 60mm/12h 110mm, 경보 3h 90mm/12h 180mm)"
TR_TEMP_01,TEMP,체감온도,C,NORMAL,,32.0,,,ALLOW,all,전반,32℃ 미만: 정상,
TR_TEMP_02,TEMP,체감온도,C,CAUTION,32.0,33.0,,,CAUTION_ACT,all,야외 장시간 체류지,32~33℃: 건강위험 증가(질병관리청),
TR_TEMP_03,TEMP,체감온도,C,ALERT_ADVISORY,33.0,35.0,,,AVOID,all,야외 장시간 체류지,폭염주의보 구간,폭염주의보: 최고체감온도 33℃ 이상 2일 지속 예상
TR_TEMP_04,TEMP,체감온도,C,ALERT_WARNING,35.0,,,,CONTROL,all,전반,폭염경보 구간,폭염경보: 최고체감온도 35℃ 이상 2일 지속 예상
TR_COLD_01,COLD,아침 최저기온,C,NORMAL,0.0,,,,ALLOW,all,전반,0℃ 초과: 정상,
TR_COLD_02,COLD,아침 최저기온,C,CAUTION,-5.0,0.0,,,CAUTION_ACT,all,도로·오름 진입 동선,-5~0℃: 결빙·보행주의(강수 동반 시),
TR_COLD_03,COLD,아침 최저기온,C,DANGER,-12.0,-5.0,,,AVOID,all,산지·새벽 산행,-12~-5℃: 산행 회피 권고,
