newsPid,placeName,kgPid,matchType,kgName,codeShift
P001,제주국제공항,P001,EXACT,제주국제공항,0
P002,서귀포매일올레시장,P002,EXACT,서귀포매일올레시장,0
P003,동문재래시장,P003,EXACT,동문재래시장,0
P004,함덕해수욕장,P004,EXACT,함덕해수욕장,0
P005,성산일출봉,P005,EXACT,성산일출봉,0
P006,협재해수욕장,P006,EXACT,협재해수욕장,0
P007,오설록티뮤지엄,P007,EXACT,오설록티뮤지엄,0
P008,이호테우해변,P008,EXACT,이호테우해변,0
P009,아쿠아플라넷제주,P009,EXACT,아쿠아플라넷제주,0
P010,섭지코지,P010,EXACT,섭지코지,0
P011,김녕해수욕장,P011,EXACT,김녕해수욕장,0
P012,곽지해수욕장,P012,EXACT,곽지해수욕장,0
P013,한라산둘레길사려니숲길,P013,EXACT,한라산둘레길사려니숲길,0
P014,성산포종합여객터미널,P014,EXACT,성산포종합여객터미널,0
P015,용머리해안,P015,EXACT,용머리해안,0
P016,비자림,P016,EXACT,비자림,0
P017,카멜리아힐,P017,EXACT,카멜리아힐,0
P018,산방산탄산온천,P018,EXACT,산방산탄산온천,0
P019,신라호텔제주,P019,EXACT,신라호텔제주,0
P020,제주항연안여객터미널,P020,EXACT,제주항연안여객터미널,0
P021,주상절리대,P021,EXACT,주상절리대,0
P022,제주신화월드랜딩리조트관,P040,ALIAS,제주신화월드,18
P023,새별오름,P022,EXACT,새별오름,-1
P024,롯데호텔제주점,P023,EXACT,롯데호텔제주점,-1
P025,천지연폭포,P024,EXACT,천지연폭포,-1
P026,파르나스호텔제주,P025,EXACT,파르나스호텔제주,-1
P027,제주신화월드신화리조트관,P040,ALIAS,제주신화월드,13
P028,금능해수욕장,P026,EXACT,금능해수욕장,-2
P029,해비치해변,P028,ALIAS,표선해수욕장,-1
P030,표선해수욕장,P028,EXACT,표선해수욕장,-2
P031,에코랜드테마파크,P029,EXACT,에코랜드테마파크,-2
P032,금오름,P030,EXACT,금오름,-2
P034,소노벨제주,P032,EXACT,소노벨제주,-2
P035,메종글래드제주호텔,P033,EXACT,메종글래드제주호텔,-2
P036,그랜드조선제주,P034,EXACT,그랜드조선제주,-2
P037,신창풍차해안도로,P035,EXACT,신창풍차해안도로,-2
P038,중문색달해변,P036,EXACT,중문색달해변,-2
P039,정방폭포,P037,EXACT,정방폭포,-2
P040,산방산,P038,EXACT,산방산,-2
P041,휘닉스아일랜드,P039,EXACT,휘닉스아일랜드,-2
P042,제주신화월드,P040,EXACT,제주신화월드,-2
P043,아르떼뮤지엄제주,P041,EXACT,아르떼뮤지엄제주,-2
P044,스누피가든,P042,EXACT,스누피가든,-2
P045,9.81파크,P043,EXACT,9.81파크,-2
P046,소노캄제주,P044,EXACT,소노캄제주,-2
P047,제주동화마을,P045,EXACT,제주동화마을,-2
P048,용두암,P046,EXACT,용두암,-2
P049,그랜드하얏트제주,P047,EXACT,그랜드하얏트제주,-2
P050,제주항제6부두,P048,EXACT,제주항제6부두,-2
P051,하귀애월해안도로,P049,EXACT,하귀애월해안도로,-2
P052,금호제주리조트,P050,EXACT,금호제주리조트,-2
P053,삼양해수욕장,P051,EXACT,삼양해수욕장,-2
P054,쇠소깍,P853,EXACT,쇠소깍,799
P055,월정리해변,P053,EXACT,월정리해변,-2
P056,성이시돌목장,P054,EXACT,성이시돌목장,-2
P057,도두동무지개해안도로,P055,EXACT,도두동무지개해안도로,-2
P058,제주항국제여객터미널,P056,ALIAS,제주항국제여객선터미널,-2
P059,제주신화월드서머셋,P057,EXACT,제주신화월드서머셋,-2
P060,헬로키티아일랜드,P058,EXACT,헬로키티아일랜드,-2
P061,한화리조트제주,P059,EXACT,한화리조트제주,-2
P062,판포포구,P060,EXACT,판포포구,-2
P063,비밀의숲,P061,EXACT,비밀의숲,-2
P064,제주돌문화공원,P062,EXACT,제주돌문화공원,-2
P065,한라수목원,P063,EXACT,한라수목원,-2
