newsPid,placeName,article_text,published_date
P033,제주민속오일시장,시장 인근에서 승용차가 중앙선을 넘어 가로등 들이 받음,2024-12-17 00:00:00
P034,제주민속오일시장,시장 인근에서 만취 상태로 지게차를 몰다 오토바이와 충돌,2025-08-28 00:00:00
P122,우도스쿠터여행,우도 야간 도로서 오토바이-보행자 충돌,2025-07-27 00:00:00
P122,우도스쿠터여행,우도 전기 오토바이 대여점 잇단 화재,2024-07-02 00:00:00
P122,우도스쿠터여행,우도에서 전기바이크 바닷가로 추락 갯바위 충돌,2025-08-28 00:00:00
P122,우도스쿠터여행,무등록 전동카트 돌담과 전신주를 들이받음,2025-09-28 00:00:00
P257,웃밤오름,웃밤오름 인근 숲길에서 고사리를 채취하던 2명이 길을 잃음,2026-04-20 00:00:00
P275,검멀레해안,조업 중이던 소형 어선이 다른 어선과 충돌해 전복 ,2026-06-25 00:00:00
P436,제주공룡랜드,제주 평화로서 차량 화재 인명 피해 없어,2024-02-02 00:00:00
P436,제주공룡랜드,제주 평화로서 4중 추돌,2026-02-09 00:00:00
P446,오설록뮤지엄,인근 도로에서 차량이 전신주를 들이받음 (원인불명확),2026-02-18 00:00:00
P446,오설록뮤지엄,주차장 입구에서 대기하던 차량이 연쇄 추돌,2025-05-05 00:00:00
P464,조천함덕해안도로,차량이 도로를 이탈해 갯바위로 추락하면서 동승자가 다쳐 병원으로 이송됨,2025-07-02 00:00:00
P498,토이파크,서귀포시 안덕면 동광리 평화로에서 차량이 빗길에 미끄러져 도로 연석을 들이받는 사고 발생,2026-05-26 00:00:00
P592,고내포구,고내포구에서 구엄포구 방면으로 주행하던 차량이 10m 절벽 아래로 추락,2024-07-23 00:00:00
P592,고내포구,고내포구 인근에서 낚시어선이 좌초됐으나 승선원 11명이 모두 구조,2025-11-01 00:00:00
P592,고내포구,풍랑특보 속 카약 타다 표류,2024-09-22 00:00:00
P592,고내포구,고내포구에서 수영 중 성게에 발가락을 찔려 출혈과 피부 흑화가 발생,2025-07-24 00:00:00
P605,필십리음식특화거리,트럭 적재함이 칠십리음식특화거리 조형물과 충돌해 구조물이 붕괴,2025-12-24 00:00:00
P606,하수고동해수욕장,인근에서 전기차가 보행자와 부딪혀 40대가 병원으로 이송,2026-05-06 00:00:00
P618,동검은이오름,동검은이오름에서 하산 중 길을 잃은 여성 구조,2025-04-07 00:00:00
P624,안세미오름,안세미오름 인근 도로에서 SUV 단독사고 발생(원인불명확),2026-05-29 00:00:00
P625,따개비오름,따개비오름 인근에서 고사리 채취 중 일행을 잃음,2025-04-13 00:00:00
P631,가파포구,가파포구 동쪽 해상에서 소형 어선이 암초와 충돌해 좌초,2025-11-21 00:00:00
P637,오조리등대,레저보트가 엔진 고장으로 방파제 충돌 위험,2024-11-12 00:00:00
P640,온평포구,온평포구 해상에서 어선이 전복(원인불명확),2024-11-16 00:00:00
P640,온평포구,온평포구 인근 갯바위에서 파도에 밀린 레저보트가 좌초,2025-11-21 00:00:00
P641,오조리방파제,오조리방파제에서 운전 미숙으로 추정 차량 추락 사고가 발생,2024-12-03 00:00:00
P643,광평교차로,광평교차로 인근 평화로에서 달리던 1t 트럭이 전도,2026-01-28 00:00:00
P644,서성로입구교차로,서성로입구교차로에서 중앙선 침범 렌터카와 승합차가 충돌,2024-12-03 00:00:00
P645,광이오름,광이오름 하산 중 다리가 접질린 여성이 응급처치를 받으며 병원 이송됨,2024-09-27 00:00:00
P646,검은오름,검은오름을 등반하던 40대 여성이 산행 중 실신,2024-10-07 00:00:00
P650,황우치해변,해상에서 고무보트를 타던  관광객 간출암에 보트가 찢어져 구조요청 ,2022-05-15 00:00:00
P655,서귀포시 강정동,서귀포시 강정동에서 60대 남성이 열경련 증상을 보여 병원 이송됨,2026-07-08 00:00:00
P658,서귀포시 남원읍 과수원,과수원에서 일하던 60대 남성이 열탈진으로 쓰러져 병원 이송됨,2026-07-19 00:00:00
P661,서귀포시 남원읍 밭,밭일하던 70대가 열탈진 증세를 보여 치료받음,2026-07-26 00:00:00
P663,서귀포시 안덕면 작업장,조경 작업을 하던 20대가 열경련 증세를 보여 치료받음,2026-07-26 00:00:00
P665,서귀포시 중문동,관광 중이던 20대 외국인 남성이 어지럼증과 가슴 부위 불편감을 호소해 병원으로 이송됨,2026-07-27 00:00:00
