accidentId,placeId,roadId,locationType,locationText,articleText,date,visitMonth,season,timeSlot,weather,crowdLevel,hazardType,victimType,severity,accessibility,risk_id,latitude,longitude,tempMax,tempMin,windSpeed,rainfall,airTemp,humidity,source,sourceDetail,newsPlaceCode,matchType
AE_NEWS_0001,P001,,PLACE,제주국제공항,강풍·폭우로 인해 항공편 결항,2026-04-09,4월,봄,오후,"강풍, 폭우",혼잡,"강풍, 폭우",불특정다수,UNKNOWN,,RP_WIND_01,33.50639,126.49525,,,,,,,news,"매일경제, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=02100101.20260409171504001",P001,EXACT
AE_NEWS_0002,P001,,PLACE,제주국제공항,"눈폭탄' 제주, 공항 중단돼 1만 1000명 발 묶여",2026-02-08,2월,겨울,오전,폭설,,대설경보,불특정다수,UNKNOWN,,RP_SNOW_01,33.50639,126.49525,,,,,,,news,"세계일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100701.20260208202716001",P001,EXACT
AE_NEWS_0003,P001,,PLACE,제주국제공항,"강풍 동반한 폭설, 항공기 19편 결항, 104편 지연 운항",2024-01-22,1월,겨울,오후,"강풍, 폭설",,"강풍, 폭설",불특정다수,PROPERTY,,RP_WIND_01,33.50639,126.49525,,,,,,,news,"제주일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01700401.20240122180515002",P001,EXACT
AE_NEWS_0004,P001,,PLACE,제주국제공항,"강풍, 폭우 무더기 결항",2024-05-06,5월,봄,,"강풍, 폭우",,"강풍, 폭우",불특정다수,PROPERTY,,RP_WIND_01,33.50639,126.49525,,,,,,,news,"세계일보, https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01100701.20240506112315001",P001,EXACT
AE_NEWS_0005,P001,,PLACE,제주국제공항,"제주공항 윈드시어 특보, 항공편 지연, 결항 속출",2025-07-17,7월,여름,오후,급변풍,,급변풍,불특정다수,UNKNOWN,,,33.50639,126.49525,,,,,,,news,"이투데이, https://www.etoday.co.kr/news/view/2488672",P001,EXACT
AE_NEWS_0006,P001,,PLACE,제주국제공항,출발장 1번 게이트 인근에서 여성 추락해 CPR 후 병원,2026-02-14,2월,겨울,오후,,,추락위험,관광객(외국인),FATAL,,RP_FALL_CLIFF,33.50639,126.49525,,,,,,,news,"서울신문, https://www.seoul.co.kr/news/society/accident/2026/02/14/20260214500052",P001,EXACT
AE_NEWS_0007,P001,,PLACE,제주국제공항,작업자 실수로 제주공항 지하차도 자동 차단막이 내려와 차량들이 충돌,2026-02-04,2월,겨울,오후,,,시설/인프라(안전시설부족),관광객,MINOR,,,33.50639,126.49525,,,,,,,news,"제주MBC, https://jejumbc.com/NewsArticle/823349",P001,EXACT
AE_NEWS_0008,P002,,PLACE,서귀포매일올레시장,서귀포매일올레시장 노점으로 1t 트럭 돌진,2025-08-28,8월,여름,오후,,,교통위험,지역주민,SEVERE,,RP_TRAFFIC_01,33.250141,126.563218,,,,,,,news,"연합뉴스, https://www.yna.co.kr/view/AKR20250828139800056?input=copy",P002,EXACT
AE_NEWS_0009,P003,,PLACE,동문재래시장,동문시장 내 음식점에서 천장 일부가 무너져 2명 부상,2026-02-22,2월,겨울,오전,,,시설노후,불특정다수,MINOR,,,33.512217,126.528185,,,,,,,news,"제주일보,https://www.jejunews.com/news/articleView.html?idxno=2223652",P003,EXACT
AE_NEWS_0010,P003,,PLACE,동문재래시장,수산물 점포에서 폭발음과 함께 화재,2025-11-28,11월,가을,야간,,,배선합선,지역주민,MINOR,,,33.512217,126.528185,,,,,,,news,"제주의소리,https://www.jejusori.net/news/articleView.html?idxno=441629",P003,EXACT
