activityId,name
ACT_001,이동
ACT_002,환승
ACT_003,쇼핑
ACT_004,식음료
ACT_005,산책
ACT_006,해변활동
ACT_007,등반
ACT_008,관람
ACT_009,휴식
ACT_010,체험
ACT_011,트레킹
ACT_012,웰니스
ACT_013,숙박
ACT_014,드라이브
ACT_015,공연관람
ACT_016,명상
ACT_017,레저스포츠
ACT_018,경관감상
ACT_019,등산
ACT_020,행사참여
ACT_021,축제
ACT_022,탐방
ACT_023,상권이용
ACT_024,관광안내
ACT_025,오피스
ACT_026,수영장
ACT_027,워터파크
ACT_028,회의
ACT_029,전시
ACT_030,도보
ACT_031,휴양
ACT_032,관광
ACT_033,유람선탑승
ACT_034,착시체험
ACT_035,미디어아트
ACT_036,자연경관
ACT_037,포토존
ACT_038,감상
ACT_039,생태관람
ACT_040,추모
ACT_041,역사탐방
ACT_042,자연장
ACT_043,미디어아트관람
ACT_044,체험형전시관람
ACT_045,천문관람
ACT_046,양조장견학
ACT_047,VR체험
ACT_048,교통안전체험
ACT_049,생태체험관람
ACT_050,안전체험
ACT_051,과학체험
ACT_052,모자전시
ACT_053,사운드전시관람
ACT_054,기상과학체험
ACT_055,복합레저체험
ACT_056,경관관람
ACT_057,오름탐방
ACT_058,수목원산책
ACT_059,식물관람
ACT_060,공원산책
ACT_061,숲산책
ACT_062,캠핑
ACT_063,지질경관관람
ACT_064,분화구관람
ACT_065,폭포관람
ACT_066,계곡경관감상
ACT_067,숲길트레킹
ACT_068,해안지형관람
ACT_069,해안드라이브
ACT_070,순례
ACT_071,포구산책
ACT_072,여객선이용
ACT_073,항구경관
ACT_074,물놀이
ACT_075,해수욕
ACT_076,해변산책
ACT_077,전망
ACT_078,스쿠터
ACT_079,바이크체험
ACT_080,사격체험
ACT_081,패러글라이딩
ACT_082,잠수함관광
ACT_083,빅볼체험
ACT_084,짚라인체험
ACT_085,투명카약
ACT_086,카약
ACT_087,트라익체험
ACT_088,해양체험
ACT_089,유람선관광
ACT_090,놀이기구체험
ACT_091,서바이벌체험
ACT_092,스포츠체험
ACT_093,해양레저
ACT_094,요트투어
ACT_095,보트투어
ACT_096,식음료체험
ACT_097,스쿠버다이빙
ACT_098,오프로드체험
ACT_099,궁도체험
ACT_100,해녀체험
ACT_101,수상레저체험
ACT_102,서핑
ACT_103,아이스링크체험
ACT_104,공예체험
ACT_105,승마
ACT_106,카트체험
ACT_107,승마체험
ACT_108,카트
ACT_109,스포츠관람
ACT_110,경기장투어
ACT_111,생활체육
ACT_112,해수사우나
ACT_113,찜질
ACT_114,캐릭터전시관람
ACT_115,정원관람
ACT_116,미로체험
ACT_117,근현대테마관람
ACT_118,테마공원관람
ACT_119,실내미로체험
ACT_120,힐링체험
ACT_121,공룡테마관람
ACT_122,미션게임체험
ACT_123,화산지형관람
ACT_124,숲체험
ACT_125,동물교감체험
ACT_126,공포테마체험
ACT_127,조형물관람
ACT_128,장난감전시관람
