placeId,name,categoryMain,categoryMid,categorySub,placeType,placeKind,placeRank,mainActivity,functionTags,roadAddress,jibunAddress,latitude,longitude,indoorOutdoor,indoorOutdoorCode,capacity,parkingCapacity,publicFacilities,accidentSummary1km,accidentSummaryNews,isIsland,islandName,ferryPort,ferryMinutes,halfDayRequired,feeGeneral,feeDisabled,openHours,closedDays,durationMin,homepage,eventStatus2026,eventMonthStart,eventMonthEnd,eventDate2026,eventScheduleConfidence,eventPeriodNote,recommendable,recommendExcludeReason,ferryTrips,islandAccessNote,facilityNature,note
P001,제주국제공항,교통시설,공항,국제공항,Place,SPOT,CENTRAL·POPULAR,이동·환승,교통거점,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담이동 2002,33.50639,126.49525,실내,INDOOR,85000,4000,공용주차장+현금결제+카드결제+공중화장실+무료WIFI+편의점+음료대+관광안내소+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+흡연구역+의무실,"낙상(54), 교통사고(45), 추락(5)",관광객(1): 시설/차량충돌(1) / 관광객(외국인)(1): 추락(1) / 불특정다수(5): 기상결항(5),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,중복 병합: P224 제주국제공항(정뜨르비행장)
P002,서귀포매일올레시장,상업·쇼핑,시장,전통시장,Place,SPOT,CENTRAL·POPULAR,쇼핑·식음료,전통시장,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 340,33.250141,126.563218,실외,OUTDOOR,20000,256,공용주차장+현금결제+카드결제+화장실+무료WIFI+음료대+안내시설+임산부휴게시설+휴게쉼터,"낙상(91), 교통사고(37), 상해(25)",지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P003,동문재래시장,상업·쇼핑,시장,전통시장,Place,SPOT,CENTRAL·POPULAR,쇼핑·식음료,전통시장,제주특별자치도 제주시 관덕로14길 20,제주특별자치도 제주시 이도일동 1436-7,33.511589,126.526006,실내:식당가,INDOOR,30000,294,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+안내시설+임산부휴게시설+엘리베이터+물품보관소,"낙상(12), 교통사고(3), 기타 둔상(2)",불특정다수(1): 시설위험(1) / 지역주민(1): 화재/폭발(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P004,함덕해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,33.543746,126.668845,실외,OUTDOOR,12000,800,주차장+화장실+샤워장+탈의실,"낙상(84), 교통사고(33), 기타 둔상(13)","미상(3): 추락(1), 익수위험(1), 야간위험(1) / 지역주민(5): 익수위험(4), 기상결항(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,자전거
P005,성산일출봉,자연관광,산·오름,화산체·일출봉,Place,SPOT,CENTRAL·POPULAR,등반·관람,야외,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 1,33.4622337,126.9368006,실외,OUTDOOR,8000,285,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+안내소+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+물품보관함,"교통사고(127), 낙상(81), 추락(11)","관광객(2): 미끄럼/낙상(1), 산악사고(1) / 미상(2): 익수위험(1), 낙석/붕괴(1) / 종사자(1): 해양사고(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P006,협재해수욕장,자연관광,해양,해수욕장,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,도로명주소미보유,제주특별자치도 제주시 한림읍 협재리 2497-1,33.3924817182,126.238985918,실외,OUTDOOR,6000,180,공용주차장+카드결제+현금결제+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(51), 교통사고(23), 기타 둔상(5)","관광객(1): 해양생물(1) / 불특정다수(2): 익수위험(1), 기상위험(1) / 미상(1): 화재/폭발(1)",UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P007,오설록티뮤지엄,문화·전시,전시시설,복합전시관,Place,SPOT,CENTRAL·POPULAR,관람·휴식,카페,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,33.30591733,126.2894877,실내,INDOOR,7500,400,주차장+화장실+식음료시설+기념품점,"낙상(64), 교통사고(58), 기타 둔상(20)",불특정다수(1): 교통위험(1) / 미상(1): 교통위험(1) / 지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,브랜드 홍보·체험관,중복 병합: P446 오설록뮤지엄
P008,이호테우해변,자연관광,해양,해변,Area,AREA,CENTRAL·POPULAR,산책·해변활동,야외,제주특별자치도 제주시 도리로 20,제주특별자치도 제주시 이호일동 1665-13,33.497896,126.452824,실외,OUTDOOR,5000,100,공용주차장+화장실+샤워실+탈의실+무료WIFI+편의점+음료대+개수대+유도 및 안내시설+경보 및 피난시설+종합상황실,"낙상(9), 교통사고(7), 추락(7)",지역주민(1): 교통위험(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
P009,아쿠아플라넷제주,체험·레저,테마시설,아쿠아리움,Place,SPOT,CENTRAL·POPULAR,관람·체험,실내,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도 서귀포시 성산읍 고성리 127-3,33.432609,126.927175,실내,INDOOR,5500,316,대형주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+푸드코트+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터+물품보관소+의무실,"낙상(94), 교통사고(37), 기타 둔상(20)",,UNKNOWN,,,,,40900,28600,09:00~19:00,연중무휴,2시간,,UNKNOWN,,,,,,Y,,,,상업 전시·테마시설,UNKNOWN
P010,섭지코지,자연관광,해양,해안경관,Area,AREA,CENTRAL·POPULAR,관람·산책,야외,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 62-4,33.423978,126.929734,실외,OUTDOOR,2000,96,공용주차장+카드결제+현금결제+화장실+편의점+음료대+유도 및 안내시설+경보 및 피난시설+안내소,"낙상(94), 교통사고(37), 기타 둔상(20)",미상(1): 화재/폭발(1),UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,Y,,,,,UNKNOWN
