region_id,sigungu,emd,period,regionAccidentTotal,regionAccidentTypes,regionAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,regionRiskScore
REG_서귀포시_강정동,서귀포시,강정동,"2022-2023,2025",114,"RP_SLIP_TERRAIN:47, RP_TRAFFIC_01:27, RP_MACHINE_01:25, RP_DROWN_01:5, RP_ANIMAL_01:4, RP_FALL_CLIFF:4, RP_CO_01:1, RP_HEAT_02:1",38.0,4,0,1,5,4,0,1,25,47,27,0.1518
REG_서귀포시_남원읍,서귀포시,남원읍,"2022-2023,2025",325,"RP_TRAFFIC_01:147, RP_SLIP_TERRAIN:102, RP_MACHINE_01:47, RP_FALL_CLIFF:11, RP_DROWN_01:6, RP_ANIMAL_01:3, RP_CO_01:3, RP_HEAT_02:3, RP_FIRE_01:2, RP_COLD_01:1",108.33,3,1,3,6,11,2,3,47,102,147,0.4327
REG_서귀포시_대정읍,서귀포시,대정읍,"2022-2023,2025",230,"RP_SLIP_TERRAIN:95, RP_TRAFFIC_01:65, RP_MACHINE_01:45, RP_ANIMAL_01:13, RP_FALL_CLIFF:8, RP_CO_01:2, RP_HEAT_02:1, RP_DROWN_01:1",76.67,13,0,2,1,8,0,1,45,95,65,0.3063
REG_서귀포시_대포동,서귀포시,대포동,"2022-2023,2025",67,"RP_TRAFFIC_01:26, RP_SLIP_TERRAIN:24, RP_MACHINE_01:9, RP_ANIMAL_01:4, RP_DROWN_01:2, RP_FALL_CLIFF:2",22.33,4,0,0,2,2,0,0,9,24,26,0.0892
REG_서귀포시_도순동,서귀포시,도순동,"2022-2023,2025",4,"RP_SLIP_TERRAIN:2, RP_TRAFFIC_01:2",1.33,0,0,0,0,0,0,0,0,2,2,0.0053
REG_서귀포시_동홍동,서귀포시,동홍동,"2022-2023,2025",61,"RP_TRAFFIC_01:25, RP_SLIP_TERRAIN:22, RP_MACHINE_01:9, RP_FALL_CLIFF:4, RP_CO_01:1",20.33,0,0,1,0,4,0,0,9,22,25,0.0812
REG_서귀포시_법환동,서귀포시,법환동,"2022-2023,2025",73,"RP_SLIP_TERRAIN:29, RP_TRAFFIC_01:24, RP_MACHINE_01:14, RP_FALL_CLIFF:2, RP_DROWN_01:1, RP_FIRE_01:1, RP_ANIMAL_01:1, RP_CO_01:1",24.33,1,0,1,1,2,1,0,14,29,24,0.0972
REG_서귀포시_보목동,서귀포시,보목동,"2022-2023,2025",22,"RP_SLIP_TERRAIN:11, RP_TRAFFIC_01:8, RP_MACHINE_01:2, RP_FALL_CLIFF:1",7.33,0,0,0,0,1,0,0,2,11,8,0.0293
REG_서귀포시_상예동,서귀포시,상예동,"2022-2023,2025",37,"RP_TRAFFIC_01:18, RP_SLIP_TERRAIN:10, RP_MACHINE_01:6, RP_ANIMAL_01:2, RP_DROWN_01:1",12.33,2,0,0,1,0,0,0,6,10,18,0.0493
REG_서귀포시_상효동,서귀포시,상효동,"2022-2023,2025",44,"RP_TRAFFIC_01:22, RP_SLIP_TERRAIN:15, RP_ANIMAL_01:4, RP_MACHINE_01:2, RP_FALL_CLIFF:1",14.67,4,0,0,0,1,0,0,2,15,22,0.0586
REG_서귀포시_색달동,서귀포시,색달동,"2022-2023,2025",252,"RP_SLIP_TERRAIN:104, RP_MACHINE_01:73, RP_TRAFFIC_01:45, RP_ANIMAL_01:16, RP_DROWN_01:9, RP_FALL_CLIFF:4, RP_CO_01:1",84.0,16,0,1,9,4,0,0,73,104,45,0.3356
REG_서귀포시_서귀동,서귀포시,서귀동,"2022-2023,2025",208,"RP_SLIP_TERRAIN:91, RP_MACHINE_01:60, RP_TRAFFIC_01:35, RP_FALL_CLIFF:9, RP_DROWN_01:8, RP_CO_01:3, RP_HEAT_02:1, RP_ANIMAL_01:1",69.33,1,0,3,8,9,0,1,60,91,35,0.277
REG_서귀포시_서호동,서귀포시,서호동,"2022-2023,2025",42,"RP_SLIP_TERRAIN:18, RP_TRAFFIC_01:17, RP_MACHINE_01:6, RP_FALL_CLIFF:1",14.0,0,0,0,0,1,0,0,6,18,17,0.0559
REG_서귀포시_서홍동,서귀포시,서홍동,"2022-2023,2025",58,"RP_SLIP_TERRAIN:24, RP_TRAFFIC_01:22, RP_MACHINE_01:8, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_HEAT_02:1",19.33,2,0,0,1,0,0,1,8,24,22,0.0772
REG_서귀포시_성산읍,서귀포시,성산읍,"2022-2023,2025",602,"RP_TRAFFIC_01:248, RP_SLIP_TERRAIN:231, RP_MACHINE_01:76, RP_FALL_CLIFF:23, RP_ANIMAL_01:12, RP_DROWN_01:7, RP_HEAT_02:3, RP_CO_01:2",200.67,12,0,2,7,23,0,3,76,231,248,0.8016
REG_서귀포시_신효동,서귀포시,신효동,"2022-2023,2025",11,"RP_SLIP_TERRAIN:5, RP_TRAFFIC_01:3, RP_MACHINE_01:2, RP_FALL_CLIFF:1",3.67,0,0,0,0,1,0,0,2,5,3,0.0147
REG_서귀포시_안덕면,서귀포시,안덕면,"2022-2023,2025",592,"RP_TRAFFIC_01:241, RP_SLIP_TERRAIN:198, RP_MACHINE_01:87, RP_ANIMAL_01:25, RP_FALL_CLIFF:22, RP_CO_01:6, RP_HEAT_02:5, RP_FIRE_01:5, RP_DROWN_01:3",197.33,25,0,6,3,22,5,5,87,198,241,0.7883
REG_서귀포시_영남동,서귀포시,영남동,"2022-2023,2025",5,"RP_MACHINE_01:2, RP_SLIP_TERRAIN:1, RP_ANIMAL_01:1, RP_FALL_CLIFF:1",1.67,1,0,0,0,1,0,0,2,1,0,0.0067
REG_서귀포시_월평동,서귀포시,월평동,"2022-2023,2025",9,"RP_TRAFFIC_01:8, RP_ANIMAL_01:1",3.0,1,0,0,0,0,0,0,0,0,8,0.012
REG_서귀포시_중문동,서귀포시,중문동,"2022-2023,2025",111,"RP_SLIP_TERRAIN:52, RP_TRAFFIC_01:27, RP_MACHINE_01:26, RP_FALL_CLIFF:3, RP_ANIMAL_01:2, RP_CO_01:1",37.0,2,0,1,0,3,0,0,26,52,27,0.1478
