코스,placeId,코스총길이(km),휠체어난이도,구간거리,구간명,시작점,KG반영
제주올레 1코스,P319,15.1,★★☆,4.6km,종달리 옛 소금밭~성산갑문 입구,제주시 구좌읍 종달리 814-5,OK
제주올레 4코스,P624,19.0,★★☆,5.5km,당케포구~세화2리 해녀의집,서귀포시 표선면 민속해안로 566-1,OK
제주올레 5코스,P329,13.4,★★★,2.4km,국립수산과학원~위미항,서귀포시 남원읍 위미리 785-1,OK
제주올레 6코스,P488,10.1,★★☆,2.3km,쇠소깍~보목포구,서귀포시 하효동 999,OK
제주올레 8코스,P879,19.3,★★★,3.4km,논짓물~대평포구,서귀포시 하예동 532-3,OK
제주올레 10코스,P878,15.6,★★☆,2.7km,사계어촌체험마을~송악산 주차장,서귀포시 안덕면 형제해안로 13-1,OK
제주올레 12코스,P619,17.5,★★☆,1.1km,엉알길 입구~자구내포구 입구,제주시 한경면 고산리 3674-2,OK
제주올레 14코스,P621,19.9,★★☆,2.1km,일성콘도~금능해수욕장,제주시 한림읍 금능리 1625,OK
제주올레 17코스,P215,19.5,★★☆,5.0km,도두봉 내려오는길~용연다리,제주시 도두2동 1611,OK
제주올레 10-1코스,P884,4.2,★★★,4.2km,상동포구~가파치안센터,가파도 상동포구,OK
