분류,번호,항목,placeId,관광지명,필드,현재값,할 일
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P070,우도도항선선착장,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P114,우도잠수함(제주씨월드),mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P118,우도산호해변 홍조단괴 서빈백사,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P280,우도 봉수대,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P282,우도 비양도,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P414,우도(해양도립공원),mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P443,우도등대,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P486,우도봉,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A1,부속섬 도달제약 미반영,P631,추자연도교,mobilityAccess / wheelchairAccess / activityAccess / recommendForMobility / mobilityCaveat,wheel=PARTIAL gate=Y caveat=(공백),도항선 접근성 판단 후 하향 또는 mobilityCaveat에 도달제약 추가
A. KG 데이터 미결,A2,유모차 축 미판단,P227,제주올레 1-1코스,strollerAccess,strollerAccess=PARTIAL,7코스는 계단 명시 — NONE 하향 여부 결정
