placeId,fogBasis,fogEvidence
P022,NEWS_CONFIRMED,뉴스: 짙은 안개 연쇄 교통사고(애월)
P260,NEWS_CONFIRMED,뉴스: 1100도로 안개 구간 추돌
P632,NEWS_CONFIRMED,뉴스: 심한 안개로 길 잃음
P013,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P739,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P740,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P859,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P863,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P868,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P869,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P870,REPRESENTATIVE,한라산 국립공원 — 고지대 운무 상시
P258,REPRESENTATIVE,1100도로 — 안개 다발 구간
P845,REPRESENTATIVE,1100도로 — 안개 다발 구간
P606,REPRESENTATIVE,한라산 고지대
P755,REPRESENTATIVE,비자림로·사려니 중산간 구간
P074,REPRESENTATIVE,중산간 초지 — 안개 유입
P054,REPRESENTATIVE,중산간 목장지대
P749,REPRESENTATIVE,중산간 오름
P085,REPRESENTATIVE,중산간 오름
P030,REPRESENTATIVE,중산간 오름 — 정상 분화구 운무
P764,REPRESENTATIVE,중산간 오름
P067,REPRESENTATIVE,중산간 자연휴양림
P613,REPRESENTATIVE,중산간 자연휴양림
P833,REPRESENTATIVE,5·16도로 중산간
P936,REPRESENTATIVE,5·16도로 중산간 초지
P554,REPRESENTATIVE,중산간 오름
P795,REPRESENTATIVE,중산간 오름
P746,REPRESENTATIVE,중산간 오름
P797,REPRESENTATIVE,중산간 오름
