placeId,nearbyAccidentRadius_m,nearbyAccidentPeriod,nearbyAccidentTotal,nearbyAccidentTypes,nearbyAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,nearbyRiskScore
P001,1000,2020-2021,33,"RP_TRAFFIC_01:17, RP_SLIP_TERRAIN:14, RP_FALL_CLIFF:1, RP_MACHINE_01:1",16.5,0,0,0,0,1,0,0,1,14,17,0.2012
P002,1000,2020-2021,83,"RP_SLIP_TERRAIN:40, RP_MACHINE_01:23, RP_TRAFFIC_01:16, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_CO_01:1",41.5,2,0,1,1,0,0,0,23,40,16,0.5061
P003,1000,2020-2021,88,"RP_SLIP_TERRAIN:34, RP_MACHINE_01:31, RP_TRAFFIC_01:18, RP_FALL_CLIFF:3, RP_DROWN_01:1, RP_ANIMAL_01:1",44.0,1,0,0,1,3,0,0,31,34,18,0.5366
P004,1000,2020-2021,77,"RP_SLIP_TERRAIN:28, RP_MACHINE_01:22, RP_TRAFFIC_01:15, RP_ANIMAL_01:4, RP_FALL_CLIFF:4, RP_DROWN_01:3, RP_FIRE_01:1",38.5,4,0,0,3,4,1,0,22,28,15,0.4695
P005,1000,2020-2021,35,"RP_SLIP_TERRAIN:14, RP_TRAFFIC_01:9, RP_MACHINE_01:6, RP_FALL_CLIFF:4, RP_DROWN_01:1, RP_ANIMAL_01:1",17.5,1,0,0,1,4,0,0,6,14,9,0.2134
P006,1000,2020-2021,46,"RP_SLIP_TERRAIN:22, RP_MACHINE_01:10, RP_TRAFFIC_01:7, RP_ANIMAL_01:4, RP_FALL_CLIFF:2, RP_CO_01:1",23.0,4,0,1,0,2,0,0,10,22,7,0.2805
P007,1000,2020-2021,13,"RP_TRAFFIC_01:7, RP_SLIP_TERRAIN:4, RP_MACHINE_01:2",6.5,0,0,0,0,0,0,0,2,4,7,0.0793
P008,1000,2020-2021,32,"RP_TRAFFIC_01:15, RP_MACHINE_01:9, RP_SLIP_TERRAIN:5, RP_CO_01:1, RP_ANIMAL_01:1, RP_FALL_CLIFF:1",16.0,1,0,1,0,1,0,0,9,5,15,0.1951
P009,1000,2020-2021,37,"RP_SLIP_TERRAIN:21, RP_TRAFFIC_01:5, RP_MACHINE_01:5, RP_FALL_CLIFF:3, RP_ANIMAL_01:2, RP_DROWN_01:1",18.5,2,0,0,1,3,0,0,5,21,5,0.2256
P010,1000,2020-2021,24,"RP_SLIP_TERRAIN:15, RP_MACHINE_01:5, RP_ANIMAL_01:2, RP_TRAFFIC_01:1, RP_DROWN_01:1",12.0,2,0,0,1,0,0,0,5,15,1,0.1463
P011,1000,2020-2021,20,"RP_TRAFFIC_01:12, RP_SLIP_TERRAIN:5, RP_MACHINE_01:2, RP_FALL_CLIFF:1",10.0,0,0,0,0,1,0,0,2,5,12,0.122
P012,1000,2020-2021,38,"RP_TRAFFIC_01:13, RP_MACHINE_01:12, RP_SLIP_TERRAIN:8, RP_DROWN_01:4, RP_ANIMAL_01:1",19.0,1,0,0,4,0,0,0,12,8,13,0.2317
P014,1000,2020-2021,157,"RP_TRAFFIC_01:84, RP_SLIP_TERRAIN:51, RP_MACHINE_01:12, RP_FALL_CLIFF:6, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_CO_01:1",78.5,2,0,1,1,6,0,0,12,51,84,0.9573
P015,1000,2020-2021,24,"RP_SLIP_TERRAIN:12, RP_MACHINE_01:5, RP_TRAFFIC_01:5, RP_FALL_CLIFF:2",12.0,0,0,0,0,2,0,0,5,12,5,0.1463
P016,1000,2020-2021,8,"RP_SLIP_TERRAIN:4, RP_MACHINE_01:2, RP_TRAFFIC_01:2",4.0,0,0,0,0,0,0,0,2,4,2,0.0488
P017,1000,2020-2021,4,"RP_MACHINE_01:2, RP_TRAFFIC_01:1, RP_SLIP_TERRAIN:1",2.0,0,0,0,0,0,0,0,2,1,1,0.0244
P018,1000,2020-2021,14,"RP_SLIP_TERRAIN:7, RP_MACHINE_01:5, RP_TRAFFIC_01:2",7.0,0,0,0,0,0,0,0,5,7,2,0.0854
P019,1000,2020-2021,69,"RP_SLIP_TERRAIN:27, RP_MACHINE_01:25, RP_TRAFFIC_01:8, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:2",34.5,4,0,0,3,2,0,0,25,27,8,0.4207
P020,1000,2020-2021,59,"RP_SLIP_TERRAIN:28, RP_MACHINE_01:16, RP_TRAFFIC_01:11, RP_FALL_CLIFF:2, RP_DROWN_01:1, RP_CO_01:1",29.5,0,0,1,1,2,0,0,16,28,11,0.3598
P021,1000,2020-2021,17,"RP_SLIP_TERRAIN:11, RP_TRAFFIC_01:6",8.5,0,0,0,0,0,0,0,0,11,6,0.1037
P022,1000,2020-2021,4,RP_SLIP_TERRAIN:4,2.0,0,0,0,0,0,0,0,0,4,0,0.0244
P023,1000,2020-2021,78,"RP_SLIP_TERRAIN:30, RP_MACHINE_01:28, RP_TRAFFIC_01:11, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:2",39.0,4,0,0,3,2,0,0,28,30,11,0.4756
P024,1000,2020-2021,62,"RP_SLIP_TERRAIN:28, RP_TRAFFIC_01:16, RP_MACHINE_01:13, RP_DROWN_01:4, RP_ANIMAL_01:1",31.0,1,0,0,4,0,0,0,13,28,16,0.378
P025,1000,2020-2021,63,"RP_SLIP_TERRAIN:25, RP_MACHINE_01:25, RP_TRAFFIC_01:5, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:1",31.5,4,0,0,3,1,0,0,25,25,5,0.3841
P026,1000,2020-2021,48,"RP_SLIP_TERRAIN:20, RP_MACHINE_01:12, RP_ANIMAL_01:7, RP_TRAFFIC_01:6, RP_FALL_CLIFF:2, RP_CO_01:1",24.0,7,0,1,0,2,0,0,12,20,6,0.2927
P027,1000,2020-2021,27,"RP_SLIP_TERRAIN:11, RP_TRAFFIC_01:6, RP_MACHINE_01:3, RP_ANIMAL_01:3, RP_DROWN_01:2, RP_CO_01:1, RP_FALL_CLIFF:1",13.5,3,0,1,2,1,0,0,3,11,6,0.1646
P028,1000,2020-2021,35,"RP_SLIP_TERRAIN:12, RP_TRAFFIC_01:8, RP_MACHINE_01:6, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_CO_01:1, RP_FALL_CLIFF:1",17.5,4,0,1,3,1,0,0,6,12,8,0.2134
P029,1000,2020-2021,12,"RP_SLIP_TERRAIN:5, RP_TRAFFIC_01:4, RP_ANIMAL_01:2, RP_MACHINE_01:1",6.0,2,0,0,0,0,0,0,1,5,4,0.0732
P030,1000,2020-2021,8,"RP_SLIP_TERRAIN:4, RP_TRAFFIC_01:3, RP_ANIMAL_01:1",4.0,1,0,0,0,0,0,0,0,4,3,0.0488
P031,1000,2020-2021,27,"RP_TRAFFIC_01:24, RP_SLIP_TERRAIN:2, RP_MACHINE_01:1",13.5,0,0,0,0,0,0,0,1,2,24,0.1646
P032,1000,2020-2021,67,"RP_SLIP_TERRAIN:24, RP_MACHINE_01:21, RP_TRAFFIC_01:10, RP_ANIMAL_01:4, RP_FALL_CLIFF:4, RP_DROWN_01:3, RP_FIRE_01:1",33.5,4,0,0,3,4,1,0,21,24,10,0.4085
P033,1000,2020-2021,139,"RP_SLIP_TERRAIN:57, RP_MACHINE_01:40, RP_TRAFFIC_01:29, RP_FALL_CLIFF:5, RP_CO_01:4, RP_FIRE_01:2, RP_ANIMAL_01:1, RP_DROWN_01:1",69.5,1,0,4,1,5,2,0,40,57,29,0.8476
P034,1000,2020-2021,84,"RP_SLIP_TERRAIN:29, RP_MACHINE_01:28, RP_TRAFFIC_01:16, RP_ANIMAL_01:5, RP_DROWN_01:3, RP_FALL_CLIFF:3",42.0,5,0,0,3,3,0,0,28,29,16,0.5122
P035,1000,2020-2021,10,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:4, RP_ANIMAL_01:1",5.0,1,0,0,0,0,0,0,0,4,5,0.061
P036,1000,2020-2021,68,"RP_SLIP_TERRAIN:31, RP_MACHINE_01:25, RP_TRAFFIC_01:8, RP_ANIMAL_01:1, RP_FALL_CLIFF:1, RP_DROWN_01:1, RP_CO_01:1",34.0,1,0,1,1,1,0,0,25,31,8,0.4146
P037,1000,2020-2021,68,"RP_SLIP_TERRAIN:31, RP_MACHINE_01:25, RP_TRAFFIC_01:8, RP_ANIMAL_01:1, RP_FALL_CLIFF:1, RP_DROWN_01:1, RP_CO_01:1",34.0,1,0,1,1,1,0,0,25,31,8,0.4146
P038,1000,2020-2021,20,"RP_SLIP_TERRAIN:11, RP_MACHINE_01:4, RP_TRAFFIC_01:3, RP_FALL_CLIFF:2",10.0,0,0,0,0,2,0,0,4,11,3,0.122
P039,1000,2020-2021,32,"RP_SLIP_TERRAIN:19, RP_MACHINE_01:5, RP_TRAFFIC_01:3, RP_FALL_CLIFF:2, RP_ANIMAL_01:2, RP_DROWN_01:1",16.0,2,0,0,1,2,0,0,5,19,3,0.1951
P040,1000,2020-2021,71,"RP_SLIP_TERRAIN:39, RP_MACHINE_01:24, RP_TRAFFIC_01:7, RP_ANIMAL_01:1",35.5,1,0,0,0,0,0,0,24,39,7,0.4329
P041,1000,2020-2021,4,"RP_SLIP_TERRAIN:2, RP_MACHINE_01:1, RP_TRAFFIC_01:1",2.0,0,0,0,0,0,0,0,1,2,1,0.0244
P042,1000,2020-2021,4,"RP_SLIP_TERRAIN:2, RP_FALL_CLIFF:1, RP_MACHINE_01:1",2.0,0,0,0,0,1,0,0,1,2,0,0.0244
P043,1000,2020-2021,29,"RP_TRAFFIC_01:27, RP_SLIP_TERRAIN:1, RP_MACHINE_01:1",14.5,0,0,0,0,0,0,0,1,1,27,0.1768
P044,1000,2020-2021,17,"RP_SLIP_TERRAIN:12, RP_MACHINE_01:3, RP_TRAFFIC_01:2",8.5,0,0,0,0,0,0,0,3,12,2,0.1037
P045,1000,2020-2021,3,"RP_TRAFFIC_01:1, RP_SLIP_TERRAIN:1, RP_MACHINE_01:1",1.5,0,0,0,0,0,0,0,1,1,1,0.0183
P046,1000,2020-2021,57,"RP_TRAFFIC_01:20, RP_SLIP_TERRAIN:20, RP_MACHINE_01:10, RP_DROWN_01:3, RP_FALL_CLIFF:3, RP_ANIMAL_01:1",28.5,1,0,0,3,3,0,0,10,20,20,0.3476
P047,1000,2020-2021,113,"RP_SLIP_TERRAIN:42, RP_MACHINE_01:33, RP_TRAFFIC_01:29, RP_CO_01:4, RP_FIRE_01:2, RP_ANIMAL_01:1, RP_FALL_CLIFF:1, RP_DROWN_01:1",56.5,1,0,4,1,1,2,0,33,42,29,0.689
P048,1000,2020-2021,25,"RP_SLIP_TERRAIN:11, RP_MACHINE_01:7, RP_FALL_CLIFF:3, RP_TRAFFIC_01:3, RP_DROWN_01:1",12.5,0,0,0,1,3,0,0,7,11,3,0.1524
P049,1000,2020-2021,20,"RP_TRAFFIC_01:9, RP_SLIP_TERRAIN:8, RP_MACHINE_01:2, RP_CO_01:1",10.0,0,0,1,0,0,0,0,2,8,9,0.122
P050,1000,2020-2021,12,"RP_SLIP_TERRAIN:6, RP_TRAFFIC_01:5, RP_ANIMAL_01:1",6.0,1,0,0,0,0,0,0,0,6,5,0.0732
P051,1000,2020-2021,3,RP_SLIP_TERRAIN:3,1.5,0,0,0,0,0,0,0,0,3,0,0.0183
P052,1000,2020-2021,6,"RP_TRAFFIC_01:4, RP_HEAT_02:1, RP_SLIP_TERRAIN:1",3.0,0,0,0,0,0,0,1,0,1,4,0.0366
P053,1000,2020-2021,38,"RP_SLIP_TERRAIN:16, RP_TRAFFIC_01:13, RP_MACHINE_01:5, RP_DROWN_01:1, RP_FALL_CLIFF:1, RP_HEAT_02:1, RP_ANIMAL_01:1",19.0,1,0,0,1,1,0,1,5,16,13,0.2317
P054,1000,2020-2021,4,RP_TRAFFIC_01:4,2.0,0,0,0,0,0,0,0,0,0,4,0.0244
P055,1000,2020-2021,29,"RP_MACHINE_01:11, RP_TRAFFIC_01:10, RP_SLIP_TERRAIN:6, RP_DROWN_01:2",14.5,0,0,0,2,0,0,0,11,6,10,0.1768
P056,1000,2020-2021,27,"RP_SLIP_TERRAIN:13, RP_MACHINE_01:7, RP_FALL_CLIFF:3, RP_TRAFFIC_01:3, RP_DROWN_01:1",13.5,0,0,0,1,3,0,0,7,13,3,0.1646
P057,1000,2020-2021,69,"RP_SLIP_TERRAIN:39, RP_MACHINE_01:24, RP_TRAFFIC_01:5, RP_ANIMAL_01:1",34.5,1,0,0,0,0,0,0,24,39,5,0.4207
P058,1000,2020-2021,10,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:2, RP_MACHINE_01:2, RP_DROWN_01:1",5.0,0,0,0,1,0,0,0,2,2,5,0.061
P059,1000,2020-2021,7,"RP_SLIP_TERRAIN:3, RP_CO_01:2, RP_TRAFFIC_01:1, RP_FALL_CLIFF:1",3.5,0,0,2,0,1,0,0,0,3,1,0.0427
P060,1000,2020-2021,18,"RP_SLIP_TERRAIN:8, RP_TRAFFIC_01:6, RP_MACHINE_01:4",9.0,0,0,0,0,0,0,0,4,8,6,0.1098
P061,1000,2020-2021,13,"RP_TRAFFIC_01:11, RP_SLIP_TERRAIN:1, RP_MACHINE_01:1",6.5,0,0,0,0,0,0,0,1,1,11,0.0793
P062,1000,2020-2021,12,"RP_SLIP_TERRAIN:6, RP_TRAFFIC_01:6",6.0,0,0,0,0,0,0,0,0,6,6,0.0732
