placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P012,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P022,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P049,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P104,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P195,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P219,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P220,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P267,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P268,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P290,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P304,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P316,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P325,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P361,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P362,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P374,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P392,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P418,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P427,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P465,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P477,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P478,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P489,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
