placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P001,0.6858,nearby_1km,15.5,24.0
P002,0.5947,nearby_1km,11.0,55.33
P003,0.2157,region_only,0.0,6.0
P004,0.1982,nearby_1km,2.0,114.0
P005,0.8883,nearby_1km,32.5,120.33
P006,0.5279,nearby_1km,8.5,101.33
P007,0.1461,nearby_1km,1.5,117.0
P008,0.4194,nearby_1km,5.5,11.0
P009,0.3443,nearby_1km,4.0,120.33
P010,0.2805,nearby_1km,3.0,120.33
P011,0.0,nearby_1km,0.5,103.67
P012,0.1982,nearby_1km,2.0,134.0
P013,0.5792,region_only,0.0,114.0
P014,0.4788,nearby_1km,7.0,120.33
P015,0.5825,region_only,0.0,117.0
P016,0.4194,nearby_1km,5.5,103.67
P017,0.3142,nearby_1km,3.5,117.0
P018,0.5124,nearby_1km,8.0,117.0
P019,0.8926,nearby_1km,33.0,66.33
P020,0.4406,nearby_1km,6.0,27.0
P021,0.0,nearby_1km,0.5,27.67
P022,0.6,region_only,0.0,134.0
P023,0.6943,nearby_1km,16.0,66.33
P024,0.0,no_data,0.0,0.0
P025,0.4603,nearby_1km,6.5,66.33
P026,0.0,nearby_1km,0.5,101.33
P027,0.4603,nearby_1km,6.5,65.67
P028,0.1461,nearby_1km,1.5,65.67
P029,0.4788,nearby_1km,7.0,114.0
P030,0.1461,nearby_1km,1.5,101.33
P031,0.2423,nearby_1km,2.5,20.33
P032,0.8968,nearby_1km,33.5,114.0
P033,0.8926,nearby_1km,33.0,79.33
P034,0.3443,nearby_1km,4.0,66.33
P035,0.1982,nearby_1km,2.0,32.0
P036,0.1461,nearby_1km,1.5,11.33
P037,0.0823,nearby_1km,1.0,11.33
P038,0.1461,nearby_1km,1.5,117.0
P039,0.0823,nearby_1km,1.0,120.33
P040,0.7479,nearby_1km,19.5,117.0
P041,0.1982,nearby_1km,2.0,134.0
P042,0.0823,nearby_1km,1.0,103.67
P043,0.6,region_only,0.0,134.0
P044,0.7185,nearby_1km,17.5,65.67
P045,0.2805,nearby_1km,3.0,103.67
P046,0.1461,nearby_1km,1.5,24.0
P047,0.8752,nearby_1km,31.0,40.33
P048,0.5426,nearby_1km,9.0,27.0
P049,0.3965,nearby_1km,5.0,134.0
P050,0.2805,nearby_1km,3.0,57.0
P051,0.1461,nearby_1km,1.5,2.0
P052,0.2805,nearby_1km,3.0,4.0
P053,0.5565,nearby_1km,9.5,103.67
P054,0.0823,nearby_1km,1.0,101.33
P055,0.2805,nearby_1km,3.0,20.33
P056,0.2805,nearby_1km,3.0,27.0
P057,0.2423,nearby_1km,2.5,117.0
P058,0.2423,nearby_1km,2.5,117.0
P059,0.6679,nearby_1km,14.5,7.33
P060,0.4603,nearby_1km,6.5,32.0
P061,0.0,nearby_1km,0.5,103.67
P062,0.4406,nearby_1km,6.0,114.0
P063,0.2423,nearby_1km,2.5,79.33
P064,0.6,region_only,0.0,134.0
P065,0.2423,nearby_1km,2.5,117.0
P066,0.0,nearby_1km,0.5,117.0
P067,0.2782,region_only,0.0,10.33
P068,0.2805,nearby_1km,3.0,15.67
P069,0.1461,nearby_1km,1.5,57.0
P070,0.8266,nearby_1km,26.0,120.33
P071,0.0823,nearby_1km,1.0,14.33
P072,0.2805,nearby_1km,3.0,27.67
P073,0.0823,nearby_1km,1.0,3.0
P074,0.0823,nearby_1km,1.0,114.0
P075,0.4171,region_only,0.0,32.0
P076,0.1982,nearby_1km,2.0,5.67
P077,0.4406,nearby_1km,6.0,27.67
P078,0.0823,nearby_1km,1.0,117.0
P079,0.4603,nearby_1km,6.5,12.67
P080,0.3988,region_only,0.0,27.67
P081,0.3142,nearby_1km,3.5,54.67
P082,0.5096,region_only,0.0,66.33
P083,0.4603,nearby_1km,6.5,66.33
P084,0.0,nearby_1km,0.5,101.33
