placeId,name,swimmingRestriction,harborName,harborType,designationConfidence,legalBasis,penalty,effectiveDate,currentStatus,note,source
P060,판포포구,PROHIBITED_FROM_2027,판포항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P070,우도도항선선착장,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P081,모슬포항,PROHIBITED_FROM_2027,모슬포항,국가어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,국가어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P103,하우목동항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P112,성산포항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P133,성산항,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P153,사계항,PROHIBITED_FROM_2027,사계항,지방어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,지방어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
P173,당케포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P204,보목포구,NOT_DESIGNATED,,,NOT_LISTED,,,,법정 지정어항 목록 미등재 — 금지 대상 아님(비법정 소규모 항·포구 가능성),연안포털 기준 제주 비법정 소규모 항·포구 29곳에 해당할 수 있음,제주 지정어항 검증 보고서(2026)
P218,금능포구,PROHIBITED_FROM_2027,금능항,어촌정주어항,CONFIRMED,어촌·어항법 개정 — 어항구역 내 물놀이·다이빙·취사·야영 금지,50만원 이하 과태료,2027-04-22,시행 전 — 계도 단계,어촌정주어항 지정 확인(한국어촌어항공단 현행 목록),제주 지정어항 검증 보고서(2026) / 한국어촌어항공단
