accidentId,risk_id,relationship,accident_type,attribution
AE_NEWS_0006,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0007,RP_TRAFFIC_01,EVIDENCES,시설/차량충돌,PLACE_CONFIRMED_NEWS
AE_NEWS_0008,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0010,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0011,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0012,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0013,RP_NIGHT_01,EVIDENCES,야간위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0014,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0015,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0016,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0017,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0018,RP_ROCKFALL_01,EVIDENCES,낙석/붕괴,PLACE_CONFIRMED_NEWS
AE_NEWS_0019,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0020,RP_SLIP_TERRAIN,EVIDENCES,미끄럼/낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0021,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0022,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0023,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0024,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0025,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0027,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0028,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0029,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0030,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0031,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0032,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0033,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0034,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0035,RP_ANIMAL_01,EVIDENCES,자연환경/야생동물,PLACE_CONFIRMED_NEWS
AE_NEWS_0036,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0037,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0038,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0039,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0040,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0041,RP_TRAFFIC_01,EVIDENCES,시설/차량충돌,PLACE_CONFIRMED_NEWS
AE_NEWS_0042,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0044,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0046,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0047,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0049,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0050,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0051,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0052,RP_ROCKFALL_01,EVIDENCES,낙석/붕괴,PLACE_CONFIRMED_NEWS
AE_NEWS_0053,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0054,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0055,RP_ANIMAL_01,EVIDENCES,해양생물,PLACE_CONFIRMED_NEWS
AE_NEWS_0056,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0057,RP_SLIP_TERRAIN,EVIDENCES,미끄럼/낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0058,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0059,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0060,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0061,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0062,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0063,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0064,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0065,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0066,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0067,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0068,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0069,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0070,RP_NIGHT_01,EVIDENCES,야간위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0071,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0072,RP_ROCKFALL_01,EVIDENCES,낙석/붕괴,PLACE_CONFIRMED_NEWS
AE_NEWS_0073,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0074,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0076,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0077,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0078,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0079,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0080,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0081,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0082,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0083,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0084,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0086,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0087,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0088,RP_WAVE_02,EVIDENCES,만조,PLACE_CONFIRMED_NEWS
AE_NEWS_0089,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0091,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0094,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0095,RP_SLIP_TERRAIN,EVIDENCES,미끄럼/낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0096,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0097,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
