accidentId,envId
AE_NEWS_0001,ENV_001
AE_NEWS_0001,ENV_002
AE_NEWS_0002,ENV_003
AE_NEWS_0003,ENV_001
AE_NEWS_0003,ENV_003
AE_NEWS_0004,ENV_001
AE_NEWS_0004,ENV_002
AE_NEWS_0005,ENV_004
AE_NEWS_0023,ENV_005
AE_NEWS_0026,ENV_001
AE_NEWS_0039,ENV_006
AE_NEWS_0039,ENV_001
AE_NEWS_0040,ENV_007
AE_NEWS_0040,ENV_008
AE_NEWS_0043,ENV_009
AE_NEWS_0047,ENV_010
AE_NEWS_0048,ENV_011
AE_NEWS_0049,ENV_006
AE_NEWS_0050,ENV_003
AE_NEWS_0050,ENV_001
AE_NEWS_0055,ENV_012
AE_NEWS_0060,ENV_009
AE_NEWS_0065,ENV_001
AE_NEWS_0082,ENV_013
AE_NEWS_0082,ENV_005
AE_NEWS_0087,ENV_011
AE_NEWS_0090,ENV_001
AE_NEWS_0092,ENV_014
AE_NEWS_0099,ENV_005
AE_NEWS_0109,ENV_009
AE_NEWS_0112,ENV_009
AE_NEWS_0126,ENV_015
AE_NEWS_0134,ENV_006
AE_NEWS_0135,ENV_012
AE_NEWS_0141,ENV_016
AE_NEWS_0155,ENV_017
AE_NEWS_0177,ENV_014
AE_NEWS_0191,ENV_018
AE_NEWS_0198,ENV_014
AE_NEWS_0201,ENV_014
AE_NEWS_0202,ENV_014
AE_NEWS_0213,ENV_001
AE_NEWS_0216,ENV_014
AE_NEWS_0232,ENV_014
AE_NEWS_0269,ENV_012
AE_NEWS_0279,ENV_019
AE_NEWS_0281,ENV_003
AE_NEWS_0287,ENV_020
AE_NEWS_0287,ENV_001
AE_NEWS_0288,ENV_014
AE_NEWS_0291,ENV_001
AE_NEWS_0293,ENV_001
AE_NEWS_0320,ENV_003
AE_NEWS_0321,ENV_011
AE_NEWS_0321,ENV_001
AE_NEWS_0332,ENV_003
AE_NEWS_0335,ENV_014
AE_NEWS_0364,ENV_021
AE_NEWS_0368,ENV_022
AE_NEWS_0372,ENV_023
AE_NEWS_0402,ENV_024
AE_NEWS_0408,ENV_002
AE_NEWS_0415,ENV_003
AE_NEWS_0422,ENV_025
AE_NEWS_0424,ENV_014
AE_NEWS_0429,ENV_026
AE_NEWS_0433,ENV_017
AE_NEWS_0435,ENV_017
AE_NEWS_0437,ENV_002
AE_NEWS_0438,ENV_002
AE_NEWS_0458,ENV_027
AE_NEWS_0459,ENV_028
AE_NEWS_0461,ENV_029
AE_NEWS_0471,ENV_030
AE_NEWS_0476,ENV_011
AE_NEWS_0479,ENV_031
AE_NEWS_0494,ENV_032
AE_NEWS_0495,ENV_012
AE_NEWS_0496,ENV_033
AE_NEWS_0497,ENV_034
AE_NEWS_0500,ENV_002
AE_NEWS_0503,ENV_035
AE_NEWS_0525,ENV_001
AE_NEWS_0553,ENV_036
AE_NEWS_0553,ENV_037
AE_NEWS_0556,ENV_038
AE_NEWS_0566,ENV_011
AE_NEWS_0573,ENV_014
