accidentId,profileId
AE_NEWS_0001,VP_01
AE_NEWS_0002,VP_01
AE_NEWS_0003,VP_01
AE_NEWS_0004,VP_01
AE_NEWS_0005,VP_01
AE_NEWS_0006,VP_01
AE_NEWS_0007,VP_01
AE_NEWS_0008,VP_02
AE_NEWS_0009,VP_01
AE_NEWS_0010,VP_02
AE_NEWS_0011,VP_02
AE_NEWS_0012,VP_02
AE_NEWS_0013,VP_01
AE_NEWS_0014,VP_01
AE_NEWS_0015,VP_01
AE_NEWS_0016,VP_02
AE_NEWS_0017,VP_02
AE_NEWS_0018,VP_01
AE_NEWS_0019,VP_01
AE_NEWS_0020,VP_01
AE_NEWS_0021,VP_03
AE_NEWS_0022,VP_01
AE_NEWS_0023,VP_01
AE_NEWS_0024,VP_01
AE_NEWS_0025,VP_01
AE_NEWS_0026,VP_01
AE_NEWS_0027,VP_01
AE_NEWS_0028,VP_02
AE_NEWS_0029,VP_01
AE_NEWS_0030,VP_01
AE_NEWS_0031,VP_01
AE_NEWS_0032,VP_01
AE_NEWS_0033,VP_01
AE_NEWS_0034,VP_01
AE_NEWS_0035,VP_01
AE_NEWS_0036,VP_01
AE_NEWS_0037,VP_02
AE_NEWS_0038,VP_01
AE_NEWS_0039,VP_01
AE_NEWS_0040,VP_02
AE_NEWS_0041,VP_01
AE_NEWS_0042,VP_01
AE_NEWS_0043,VP_01
AE_NEWS_0044,VP_01
AE_NEWS_0045,VP_01
AE_NEWS_0046,VP_01
AE_NEWS_0047,VP_01
AE_NEWS_0048,VP_01
AE_NEWS_0049,VP_01
AE_NEWS_0050,VP_01
AE_NEWS_0051,VP_02
AE_NEWS_0052,VP_01
AE_NEWS_0053,VP_01
AE_NEWS_0054,VP_01
AE_NEWS_0055,VP_01
AE_NEWS_0056,VP_02
AE_NEWS_0057,VP_01
AE_NEWS_0058,VP_01
AE_NEWS_0059,VP_01
AE_NEWS_0060,VP_01
AE_NEWS_0061,VP_01
AE_NEWS_0062,VP_01
AE_NEWS_0063,VP_02
AE_NEWS_0064,VP_02
AE_NEWS_0065,VP_02
AE_NEWS_0066,VP_02
AE_NEWS_0067,VP_01
AE_NEWS_0068,VP_02
AE_NEWS_0069,VP_01
AE_NEWS_0070,VP_01
AE_NEWS_0071,VP_01
AE_NEWS_0072,VP_03
AE_NEWS_0073,VP_03
AE_NEWS_0074,VP_01
AE_NEWS_0075,VP_01
AE_NEWS_0076,VP_01
AE_NEWS_0077,VP_02
AE_NEWS_0078,VP_01
AE_NEWS_0079,VP_01
AE_NEWS_0080,VP_02
AE_NEWS_0081,VP_02
AE_NEWS_0082,VP_02
AE_NEWS_0083,VP_02
AE_NEWS_0084,VP_01
AE_NEWS_0085,VP_01
AE_NEWS_0086,VP_01
AE_NEWS_0087,VP_01
AE_NEWS_0088,VP_01
AE_NEWS_0089,VP_01
AE_NEWS_0090,VP_01
AE_NEWS_0091,VP_01
AE_NEWS_0092,VP_01
AE_NEWS_0093,VP_02
AE_NEWS_0094,VP_01
AE_NEWS_0095,VP_02
AE_NEWS_0096,VP_01
AE_NEWS_0097,VP_01
AE_NEWS_0098,VP_03
AE_NEWS_0099,VP_02
AE_NEWS_0100,VP_01
AE_NEWS_0101,VP_01
AE_NEWS_0102,VP_01
AE_NEWS_0103,VP_01
AE_NEWS_0104,VP_01
AE_NEWS_0105,VP_01
AE_NEWS_0106,VP_02
AE_NEWS_0107,VP_02
AE_NEWS_0108,VP_02
AE_NEWS_0109,VP_02
AE_NEWS_0110,VP_01
AE_NEWS_0111,VP_02
AE_NEWS_0112,VP_01
AE_NEWS_0113,VP_03
AE_NEWS_0114,VP_03
AE_NEWS_0115,VP_02
AE_NEWS_0116,VP_01
AE_NEWS_0117,VP_02
AE_NEWS_0118,VP_02
AE_NEWS_0119,VP_02
AE_NEWS_0120,VP_01
AE_NEWS_0121,VP_01
AE_NEWS_0122,VP_01
AE_NEWS_0123,VP_02
AE_NEWS_0124,VP_02
AE_NEWS_0125,VP_01
AE_NEWS_0126,VP_01
AE_NEWS_0127,VP_01
AE_NEWS_0128,VP_01
AE_NEWS_0129,VP_01
AE_NEWS_0130,VP_01
AE_NEWS_0131,VP_01
AE_NEWS_0132,VP_01
AE_NEWS_0133,VP_01
AE_NEWS_0134,VP_01
AE_NEWS_0135,VP_01
AE_NEWS_0136,VP_01
AE_NEWS_0137,VP_02
AE_NEWS_0138,VP_01
AE_NEWS_0139,VP_03
AE_NEWS_0140,VP_03
AE_NEWS_0141,VP_01
AE_NEWS_0142,VP_02
AE_NEWS_0143,VP_02
AE_NEWS_0144,VP_02
AE_NEWS_0145,VP_01
AE_NEWS_0146,VP_01
AE_NEWS_0147,VP_03
AE_NEWS_0148,VP_01
AE_NEWS_0149,VP_01
AE_NEWS_0150,VP_01
AE_NEWS_0151,VP_01
AE_NEWS_0152,VP_01
AE_NEWS_0153,VP_01
AE_NEWS_0154,VP_01
AE_NEWS_0155,VP_01
AE_NEWS_0156,VP_01
AE_NEWS_0157,VP_02
AE_NEWS_0158,VP_02
AE_NEWS_0159,VP_01
AE_NEWS_0160,VP_01
AE_NEWS_0161,VP_01
AE_NEWS_0162,VP_01
AE_NEWS_0163,VP_01
AE_NEWS_0164,VP_02
AE_NEWS_0165,VP_02
AE_NEWS_0166,VP_01
AE_NEWS_0167,VP_01
AE_NEWS_0168,VP_01
AE_NEWS_0169,VP_02
AE_NEWS_0170,VP_01
AE_NEWS_0171,VP_03
AE_NEWS_0172,VP_03
AE_NEWS_0173,VP_01
AE_NEWS_0174,VP_03
AE_NEWS_0175,VP_03
AE_NEWS_0176,VP_03
AE_NEWS_0177,VP_01
AE_NEWS_0178,VP_02
AE_NEWS_0179,VP_01
AE_NEWS_0180,VP_03
AE_NEWS_0181,VP_02
AE_NEWS_0182,VP_02
AE_NEWS_0183,VP_02
AE_NEWS_0184,VP_02
AE_NEWS_0185,VP_01
AE_NEWS_0186,VP_02
AE_NEWS_0187,VP_01
AE_NEWS_0188,VP_03
AE_NEWS_0189,VP_01
AE_NEWS_0190,VP_01
AE_NEWS_0191,VP_02
AE_NEWS_0192,VP_01
AE_NEWS_0193,VP_01
AE_NEWS_0194,VP_01
AE_NEWS_0195,VP_01
AE_NEWS_0196,VP_01
AE_NEWS_0197,VP_01
AE_NEWS_0198,VP_01
AE_NEWS_0199,VP_01
AE_NEWS_0200,VP_03
AE_NEWS_0201,VP_03
AE_NEWS_0202,VP_01
AE_NEWS_0203,VP_01
AE_NEWS_0204,VP_01
AE_NEWS_0205,VP_01
AE_NEWS_0206,VP_02
AE_NEWS_0207,VP_01
AE_NEWS_0208,VP_01
AE_NEWS_0209,VP_02
AE_NEWS_0210,VP_01
AE_NEWS_0211,VP_01
AE_NEWS_0212,VP_01
AE_NEWS_0213,VP_01
AE_NEWS_0214,VP_03
AE_NEWS_0215,VP_03
AE_NEWS_0216,VP_03
AE_NEWS_0217,VP_01
AE_NEWS_0218,VP_02
AE_NEWS_0219,VP_01
AE_NEWS_0220,VP_01
AE_NEWS_0221,VP_01
AE_NEWS_0222,VP_01
AE_NEWS_0223,VP_01
AE_NEWS_0224,VP_01
AE_NEWS_0225,VP_01
AE_NEWS_0226,VP_01
AE_NEWS_0227,VP_01
AE_NEWS_0228,VP_01
AE_NEWS_0229,VP_02
AE_NEWS_0230,VP_01
AE_NEWS_0231,VP_02
AE_NEWS_0232,VP_01
AE_NEWS_0233,VP_01
AE_NEWS_0234,VP_01
AE_NEWS_0235,VP_01
AE_NEWS_0236,VP_02
AE_NEWS_0237,VP_02
AE_NEWS_0238,VP_02
AE_NEWS_0239,VP_02
AE_NEWS_0240,VP_02
AE_NEWS_0241,VP_01
AE_NEWS_0242,VP_01
AE_NEWS_0243,VP_01
AE_NEWS_0244,VP_01
AE_NEWS_0245,VP_01
AE_NEWS_0246,VP_01
AE_NEWS_0247,VP_02
AE_NEWS_0248,VP_01
AE_NEWS_0249,VP_01
AE_NEWS_0250,VP_01
AE_NEWS_0251,VP_01
AE_NEWS_0252,VP_02
AE_NEWS_0253,VP_02
AE_NEWS_0254,VP_02
AE_NEWS_0255,VP_01
AE_NEWS_0256,VP_02
AE_NEWS_0257,VP_01
AE_NEWS_0258,VP_01
AE_NEWS_0259,VP_01
AE_NEWS_0260,VP_01
AE_NEWS_0261,VP_01
AE_NEWS_0262,VP_01
AE_NEWS_0263,VP_01
AE_NEWS_0264,VP_01
AE_NEWS_0265,VP_02
AE_NEWS_0266,VP_01
AE_NEWS_0267,VP_01
