accidentId,placeId
AE_NEWS_0001,P001
AE_NEWS_0002,P001
AE_NEWS_0003,P001
AE_NEWS_0004,P001
AE_NEWS_0005,P001
AE_NEWS_0006,P001
AE_NEWS_0007,P001
AE_NEWS_0008,P002
AE_NEWS_0009,P003
AE_NEWS_0010,P003
AE_NEWS_0011,P004
AE_NEWS_0012,P004
AE_NEWS_0013,P004
AE_NEWS_0014,P004
AE_NEWS_0015,P004
AE_NEWS_0016,P004
AE_NEWS_0017,P004
AE_NEWS_0018,P005
AE_NEWS_0019,P005
AE_NEWS_0020,P005
AE_NEWS_0021,P005
AE_NEWS_0022,P005
AE_NEWS_0023,P006
AE_NEWS_0024,P006
AE_NEWS_0025,P006
AE_NEWS_0026,P006
AE_NEWS_0027,P007
AE_NEWS_0028,P008
AE_NEWS_0029,P010
AE_NEWS_0030,P011
AE_NEWS_0031,P011
AE_NEWS_0032,P011
AE_NEWS_0033,P011
AE_NEWS_0034,P012
AE_NEWS_0035,P013
AE_NEWS_0036,P013
AE_NEWS_0037,P014
AE_NEWS_0038,P015
AE_NEWS_0039,P016
AE_NEWS_0040,P016
AE_NEWS_0041,P017
AE_NEWS_0042,P018
AE_NEWS_0043,P019
AE_NEWS_0044,P020
AE_NEWS_0045,P021
AE_NEWS_0046,P021
AE_NEWS_0047,P023
AE_NEWS_0048,P023
AE_NEWS_0049,P023
AE_NEWS_0050,P023
AE_NEWS_0051,P023
AE_NEWS_0052,P025
AE_NEWS_0053,P028
AE_NEWS_0054,P029
AE_NEWS_0055,P030
AE_NEWS_0056,P030
AE_NEWS_0057,P030
AE_NEWS_0058,P031
AE_NEWS_0059,P031
AE_NEWS_0060,P031
AE_NEWS_0061,P032
AE_NEWS_0062,P032
AE_NEWS_0063,P033
AE_NEWS_0064,P034
AE_NEWS_0065,P035
AE_NEWS_0066,P035
AE_NEWS_0067,P038
AE_NEWS_0068,P039
AE_NEWS_0069,P040
AE_NEWS_0070,P040
AE_NEWS_0071,P040
AE_NEWS_0072,P042
AE_NEWS_0073,P042
AE_NEWS_0074,P044
AE_NEWS_0075,P045
AE_NEWS_0076,P045
AE_NEWS_0077,P048
AE_NEWS_0078,P048
AE_NEWS_0079,P049
AE_NEWS_0080,P050
AE_NEWS_0081,P051
AE_NEWS_0082,P053
AE_NEWS_0083,P053
AE_NEWS_0084,P054
AE_NEWS_0085,P055
AE_NEWS_0086,P055
AE_NEWS_0087,P057
AE_NEWS_0088,P057
AE_NEWS_0089,P057
AE_NEWS_0090,P058
AE_NEWS_0091,P058
AE_NEWS_0092,P060
AE_NEWS_0093,P062
AE_NEWS_0094,P062
AE_NEWS_0095,P062
AE_NEWS_0096,P062
AE_NEWS_0097,P065
AE_NEWS_0098,P067
AE_NEWS_0099,P068
AE_NEWS_0100,P068
AE_NEWS_0101,P069
AE_NEWS_0102,P070
AE_NEWS_0103,P070
AE_NEWS_0104,P072
AE_NEWS_0105,P072
AE_NEWS_0106,P072
AE_NEWS_0107,P072
AE_NEWS_0108,P076
AE_NEWS_0109,P076
AE_NEWS_0110,P076
AE_NEWS_0111,P079
AE_NEWS_0112,P079
AE_NEWS_0113,P079
AE_NEWS_0114,P079
AE_NEWS_0115,P081
AE_NEWS_0116,P082
AE_NEWS_0117,P083
AE_NEWS_0118,P083
AE_NEWS_0119,P083
AE_NEWS_0120,P083
AE_NEWS_0121,P083
AE_NEWS_0122,P086
AE_NEWS_0123,P087
AE_NEWS_0124,P087
AE_NEWS_0125,P092
AE_NEWS_0126,P096
AE_NEWS_0127,P096
AE_NEWS_0128,P096
AE_NEWS_0129,P096
AE_NEWS_0130,P097
AE_NEWS_0131,P097
AE_NEWS_0132,P098
AE_NEWS_0133,P098
AE_NEWS_0134,P098
AE_NEWS_0135,P102
AE_NEWS_0136,P103
AE_NEWS_0137,P104
AE_NEWS_0138,P105
AE_NEWS_0139,P106
AE_NEWS_0140,P106
AE_NEWS_0141,P107
AE_NEWS_0142,P109
AE_NEWS_0143,P111
AE_NEWS_0144,P111
AE_NEWS_0145,P116
AE_NEWS_0146,P122
AE_NEWS_0147,P122
AE_NEWS_0148,P122
AE_NEWS_0149,P122
AE_NEWS_0150,P123
AE_NEWS_0151,P124
AE_NEWS_0152,P125
AE_NEWS_0153,P129
AE_NEWS_0154,P133
AE_NEWS_0155,P133
AE_NEWS_0156,P133
AE_NEWS_0157,P133
AE_NEWS_0158,P133
AE_NEWS_0159,P133
AE_NEWS_0160,P133
AE_NEWS_0161,P133
AE_NEWS_0162,P133
AE_NEWS_0163,P133
AE_NEWS_0164,P134
AE_NEWS_0165,P134
AE_NEWS_0166,P134
AE_NEWS_0167,P136
AE_NEWS_0168,P139
AE_NEWS_0169,P141
AE_NEWS_0170,P141
AE_NEWS_0171,P141
AE_NEWS_0172,P141
AE_NEWS_0173,P141
AE_NEWS_0174,P141
AE_NEWS_0175,P141
AE_NEWS_0176,P141
AE_NEWS_0177,P143
AE_NEWS_0178,P146
AE_NEWS_0179,P146
AE_NEWS_0180,P147
AE_NEWS_0181,P149
AE_NEWS_0182,P149
AE_NEWS_0183,P151
AE_NEWS_0184,P151
AE_NEWS_0185,P151
AE_NEWS_0186,P154
AE_NEWS_0187,P154
AE_NEWS_0188,P154
AE_NEWS_0189,P154
AE_NEWS_0190,P154
AE_NEWS_0191,P155
AE_NEWS_0192,P155
AE_NEWS_0193,P155
AE_NEWS_0194,P155
AE_NEWS_0195,P155
AE_NEWS_0196,P156
AE_NEWS_0197,P162
AE_NEWS_0198,P162
AE_NEWS_0199,P162
AE_NEWS_0200,P162
AE_NEWS_0201,P162
AE_NEWS_0202,P162
AE_NEWS_0203,P162
AE_NEWS_0204,P165
AE_NEWS_0205,P167
AE_NEWS_0206,P170
AE_NEWS_0207,P170
AE_NEWS_0208,P170
AE_NEWS_0209,P171
AE_NEWS_0210,P171
AE_NEWS_0211,P171
AE_NEWS_0212,P173
AE_NEWS_0213,P177
AE_NEWS_0214,P179
AE_NEWS_0215,P179
AE_NEWS_0216,P179
AE_NEWS_0217,P180
AE_NEWS_0218,P180
AE_NEWS_0219,P180
AE_NEWS_0220,P190
AE_NEWS_0221,P197
AE_NEWS_0222,P198
AE_NEWS_0223,P200
AE_NEWS_0224,P202
AE_NEWS_0225,P210
AE_NEWS_0226,P210
AE_NEWS_0227,P210
AE_NEWS_0228,P210
AE_NEWS_0229,P212
AE_NEWS_0230,P212
AE_NEWS_0231,P212
AE_NEWS_0232,P212
AE_NEWS_0233,P212
AE_NEWS_0234,P212
AE_NEWS_0235,P215
AE_NEWS_0236,P217
AE_NEWS_0237,P217
AE_NEWS_0238,P218
AE_NEWS_0239,P220
AE_NEWS_0240,P220
AE_NEWS_0241,P220
AE_NEWS_0242,P224
AE_NEWS_0243,P224
AE_NEWS_0244,P224
AE_NEWS_0245,P230
AE_NEWS_0246,P233
AE_NEWS_0247,P235
AE_NEWS_0248,P235
AE_NEWS_0249,P235
AE_NEWS_0250,P237
AE_NEWS_0251,P237
AE_NEWS_0252,P239
