accidentId,roadId,relationship
AE_NEWS_0039,RS_BIJARIM,OCCURRED_ON
AE_NEWS_0048,RS_PEACE,OCCURRED_ON
AE_NEWS_0105,RS_PEACE,OCCURRED_ON
AE_NEWS_0188,RS_ILJU_E,OCCURRED_ON
AE_NEWS_0196,RS_1100,OCCURRED_ON
AE_NEWS_0198,RS_1100,OCCURRED_ON
AE_NEWS_0217,RS_HAEMAJI,OCCURRED_ON
AE_NEWS_0227,RS_BIJARIM,OCCURRED_ON
AE_NEWS_0228,RS_BIJARIM,OCCURRED_ON
AE_NEWS_0303,RS_AEJO,OCCURRED_ON
AE_NEWS_0313,RS_PEACE,OCCURRED_ON
AE_NEWS_0314,RS_PEACE,OCCURRED_ON
AE_NEWS_0329,RS_1100,OCCURRED_ON
AE_NEWS_0330,RS_1100,OCCURRED_ON
AE_NEWS_0331,RS_1100,OCCURRED_ON
AE_NEWS_0332,RS_1100,OCCURRED_ON
AE_NEWS_0362,RS_PEACE,OCCURRED_ON
AE_NEWS_0510,RS_PEACE,OCCURRED_ON
AE_NEWS_0511,RS_SEOSEONG,OCCURRED_ON
