activity_id,risk_id,relationship
ACTV_04,RP_LOST_01,CARRIES
ACTV_01,RP_LOST_01,CARRIES
ACTV_01,RP_MOUNTAIN_01,CARRIES
ACTV_02,RP_DROWN_01,CARRIES
ACTV_03,RP_DROWN_01,CARRIES
ACTV_05,RP_DROWN_01,CARRIES
ACTV_07,RP_DROWN_01,CARRIES
ACTV_05,RP_CO_01,CARRIES
ACTV_11,RP_CO_01,CARRIES
ACTV_08,RP_MACHINE_01,CARRIES
ACTV_09,RP_MACHINE_01,CARRIES
ACTV_10,RP_MACHINE_01,CARRIES
ACTV_10,RP_FALL_01,CARRIES
ACTV_09,RP_ANIMAL_01,CARRIES
ACTV_01,RP_ANIMAL_01,CARRIES
ACTV_06,RP_TRAFFIC_01,CARRIES
ACTV_14,RP_TRAFFIC_01,CARRIES
ACTV_12,RP_ICE_01,CARRIES
ACTV_13,RP_OUTDOOR_01,CARRIES
ACTV_13,RP_HEAT_02,CARRIES
ACTV_15,RP_FIRE_01,CARRIES
