kg_activity_id,kg_name,v3_activity_id,relationship
ACT_005,산책,ACTV_12,MAPS_TO
ACT_006,해변활동,ACTV_02,MAPS_TO
ACT_007,등반,ACTV_01,MAPS_TO
ACT_010,체험,ACTV_13,MAPS_TO
ACT_011,트레킹,ACTV_01,MAPS_TO
ACT_012,웰니스,ACTV_13,MAPS_TO
ACT_014,드라이브,ACTV_06,MAPS_TO
ACT_017,레저스포츠,ACTV_13,MAPS_TO
ACT_018,경관감상,ACTV_07,MAPS_TO
ACT_019,등산,ACTV_01,MAPS_TO
ACT_026,수영장,ACTV_02,MAPS_TO
ACT_027,워터파크,ACTV_02,MAPS_TO
ACT_030,도보,ACTV_12,MAPS_TO
ACT_031,휴양,ACTV_13,MAPS_TO
ACT_037,포토존,ACTV_07,MAPS_TO
ACT_049,생태체험관람,ACTV_13,MAPS_TO
ACT_062,캠핑,ACTV_11,MAPS_TO
ACT_074,물놀이,ACTV_02,MAPS_TO
ACT_077,전망,ACTV_07,MAPS_TO
ACT_093,해양레저,ACTV_13,MAPS_TO
