advisory_id,risk_id,relationship
SA_01,RP_LOST_01,BASED_ON
SA_02,RP_MACHINE_01,BASED_ON
SA_03,RP_MACHINE_01,BASED_ON
SA_04,RP_MACHINE_01,BASED_ON
SA_05,RP_DROWN_01,BASED_ON
SA_06,RP_OUTDOOR_01,BASED_ON
SA_07,RP_MACHINE_01,BASED_ON
SA_08,RP_ANIMAL_01,BASED_ON
SA_09,RP_TRAFFIC_01,BASED_ON
SA_10,RP_MOUNTAIN_01,BASED_ON
SA_11,RP_FALL_01,BASED_ON
SA_12,RP_ICE_01,BASED_ON
SA_13,RP_FIRE_01,BASED_ON
SA_14,RP_CO_01,BASED_ON
SA_15,RP_TRAFFIC_01,BASED_ON
SA_16,RP_ROCKFALL_01,BASED_ON
SA_17,RP_MOUNTAIN_01,BASED_ON
SA_18,RP_HEAT_02,BASED_ON
SA_19,RP_DROWN_01,BASED_ON
SA_20,RP_TYPHOON_01,BASED_ON
