advisory_id,message_id,relationship
SA_01,MSG_01,RECOMMENDS
SA_02,MSG_02,RECOMMENDS
SA_03,MSG_03,RECOMMENDS
SA_04,MSG_04,RECOMMENDS
SA_05,MSG_05,RECOMMENDS
SA_06,MSG_06,RECOMMENDS
SA_07,MSG_07,RECOMMENDS
SA_08,MSG_08,RECOMMENDS
SA_09,MSG_09,RECOMMENDS
SA_10,MSG_10,RECOMMENDS
SA_11,MSG_11,RECOMMENDS
SA_12,MSG_12,RECOMMENDS
SA_13,MSG_13,RECOMMENDS
SA_14,MSG_14,RECOMMENDS
SA_15,MSG_15,RECOMMENDS
SA_16,MSG_16,RECOMMENDS
SA_17,MSG_17,RECOMMENDS
SA_18,MSG_18,RECOMMENDS
SA_19,MSG_19,RECOMMENDS
SA_20,MSG_20,RECOMMENDS
