advisory_id,activity_id,activity_name_en,relationship
SA_01,ACTV_04,Foraging,TARGETS
SA_02,ACTV_08,Farming,TARGETS
SA_03,ACTV_08,Farming,TARGETS
SA_04,ACTV_08,Farming,TARGETS
SA_05,ACTV_02,Swimming,TARGETS
SA_05,ACTV_03,Diving,TARGETS
SA_06,ACTV_13,OutdoorActivity,TARGETS
SA_07,ACTV_09,Mowing,TARGETS
SA_08,ACTV_09,Mowing,TARGETS
SA_08,ACTV_01,Trekking,TARGETS
SA_09,ACTV_14,HolidayActivity,TARGETS
SA_10,ACTV_01,Trekking,TARGETS
SA_11,ACTV_10,Harvesting,TARGETS
SA_12,ACTV_12,Walking,TARGETS
SA_13,ACTV_15,IndoorHeating,TARGETS
SA_14,ACTV_11,Camping,TARGETS
SA_15,ACTV_14,HolidayActivity,TARGETS
SA_16,ACTV_01,Trekking,TARGETS
SA_16,ACTV_12,Walking,TARGETS
SA_17,ACTV_01,Trekking,TARGETS
SA_18,ACTV_13,OutdoorActivity,TARGETS
SA_19,ACTV_05,Fishing,TARGETS
SA_20,ACTV_13,OutdoorActivity,TARGETS
