accidentId,risk_id,relationship,attribution
AE_FIRE_2020_00185,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00347,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00465,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00497,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00667,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00754,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00836,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_00988,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01227,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01253,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01314,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01339,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01364,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01397,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01533,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01549,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01631,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01736,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01978,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01980,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01981,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_01982,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02000,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02087,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02141,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02311,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02339,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02574,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02575,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02588,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02615,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02663,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02699,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02742,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02750,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02752,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02788,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02789,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02790,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02791,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02911,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02914,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02927,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02949,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_02955,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03012,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03032,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03224,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03229,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03365,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03394,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03595,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03650,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03675,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03742,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03749,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03828,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03915,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03923,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03971,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_03990,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04001,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04035,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04056,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04090,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04100,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04159,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04185,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04310,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04317,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04368,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04426,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04442,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04462,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04463,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04464,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04486,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04502,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04521,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04559,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04572,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04616,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04682,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04708,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04848,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_04915,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05043,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05044,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05127,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05138,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05210,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05248,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05272,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05326,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05329,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05391,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05392,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05401,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05438,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05500,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05515,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05517,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05518,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05519,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05558,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05651,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05681,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05889,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05919,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05922,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_05947,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06024,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06025,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06026,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06068,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06078,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06097,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06098,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06274,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06345,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06352,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06373,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06422,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06463,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06532,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06536,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06602,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06603,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06607,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06614,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06678,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06684,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06702,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06721,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06859,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06915,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_06973,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07084,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07137,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07172,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07189,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07197,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07208,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07228,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07289,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07291,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07380,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07403,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07414,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07425,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07462,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07510,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07601,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07648,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07713,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07714,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07728,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07839,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
