accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00001,P395,OCCURRED_AT,411
AE_FIRE_PT_00004,P183,OCCURRED_AT,36
AE_FIRE_PT_00005,P173,OCCURRED_AT,184
AE_FIRE_PT_00006,P499,OCCURRED_AT,490
AE_FIRE_PT_00007,P183,OCCURRED_AT,36
AE_FIRE_PT_00010,P759,OCCURRED_AT,551
AE_FIRE_PT_00011,P002,OCCURRED_AT,23
AE_FIRE_PT_00012,P251,OCCURRED_AT,338
AE_FIRE_PT_00013,P839,OCCURRED_AT,226
AE_FIRE_PT_00014,P839,OCCURRED_AT,226
AE_FIRE_PT_00015,P839,OCCURRED_AT,226
AE_FIRE_PT_00016,P177,OCCURRED_AT,65
AE_FIRE_PT_00017,P684,OCCURRED_AT,572
AE_FIRE_PT_00018,P684,OCCURRED_AT,572
AE_FIRE_PT_00019,P684,OCCURRED_AT,572
AE_FIRE_PT_00020,P190,OCCURRED_AT,74
AE_FIRE_PT_00021,P190,OCCURRED_AT,74
AE_FIRE_PT_00022,P016,OCCURRED_AT,525
AE_FIRE_PT_00023,P703,OCCURRED_AT,802
AE_FIRE_PT_00024,P325,OCCURRED_AT,217
AE_FIRE_PT_00025,P839,OCCURRED_AT,185
AE_FIRE_PT_00026,P907,OCCURRED_AT,348
AE_FIRE_PT_00027,P998,OCCURRED_AT,150
AE_FIRE_PT_00028,P188,OCCURRED_AT,384
AE_FIRE_PT_00029,P987,OCCURRED_AT,105
AE_FIRE_PT_00032,P453,OCCURRED_AT,31
AE_FIRE_PT_00033,P975,OCCURRED_AT,368
AE_FIRE_PT_00034,P847,OCCURRED_AT,93
AE_FIRE_PT_00035,P814,OCCURRED_AT,402
AE_FIRE_PT_00036,P814,OCCURRED_AT,402
AE_FIRE_PT_00037,P522,OCCURRED_AT,156
AE_FIRE_PT_00038,P869,OCCURRED_AT,127
AE_FIRE_PT_00040,P050,OCCURRED_AT,310
AE_FIRE_PT_00041,P050,OCCURRED_AT,310
AE_FIRE_PT_00042,P143,OCCURRED_AT,1
AE_FIRE_PT_00043,P092,OCCURRED_AT,223
AE_FIRE_PT_00044,P140,OCCURRED_AT,128
AE_FIRE_PT_00046,P033,OCCURRED_AT,458
AE_FIRE_PT_00047,P841,OCCURRED_AT,208
AE_FIRE_PT_00048,P451,OCCURRED_AT,347
AE_FIRE_PT_00049,P677,OCCURRED_AT,552
AE_FIRE_PT_00050,P014,OCCURRED_AT,125
AE_FIRE_PT_00051,P188,OCCURRED_AT,165
AE_FIRE_PT_00052,P403,OCCURRED_AT,483
AE_FIRE_PT_00053,P641,OCCURRED_AT,659
AE_FIRE_PT_00054,P760,OCCURRED_AT,653
AE_FIRE_PT_00055,P019,OCCURRED_AT,76
