placeId,activityId
P001,ACT_001
P001,ACT_002
P002,ACT_003
P002,ACT_004
P003,ACT_003
P003,ACT_004
P004,ACT_005
P004,ACT_006
P005,ACT_007
P005,ACT_008
P006,ACT_005
P006,ACT_006
P007,ACT_008
P007,ACT_009
P008,ACT_005
P008,ACT_006
P009,ACT_008
P009,ACT_010
P010,ACT_008
P010,ACT_005
P011,ACT_005
P011,ACT_006
P012,ACT_005
P012,ACT_006
P013,ACT_005
P013,ACT_011
P014,ACT_001
P014,ACT_002
P015,ACT_008
P015,ACT_005
P016,ACT_005
P016,ACT_008
P017,ACT_005
P017,ACT_008
P018,ACT_009
P018,ACT_012
P019,ACT_013
P020,ACT_001
P020,ACT_002
P021,ACT_008
P021,ACT_005
P022,ACT_007
P022,ACT_005
P023,ACT_013
P024,ACT_008
P024,ACT_005
P025,ACT_013
P026,ACT_005
P026,ACT_006
P027,ACT_013
P028,ACT_005
P028,ACT_006
P029,ACT_008
P029,ACT_010
P030,ACT_007
P030,ACT_005
P031,ACT_003
P031,ACT_004
P032,ACT_013
P033,ACT_013
P034,ACT_013
P035,ACT_014
P035,ACT_005
P036,ACT_005
P036,ACT_006
P037,ACT_008
P037,ACT_005
P038,ACT_007
P038,ACT_008
P039,ACT_013
P040,ACT_008
P040,ACT_010
P041,ACT_008
P042,ACT_008
P042,ACT_005
P043,ACT_010
P044,ACT_013
P045,ACT_008
P045,ACT_010
P046,ACT_008
P046,ACT_005
P047,ACT_013
P048,ACT_001
P048,ACT_008
P049,ACT_014
P049,ACT_005
P050,ACT_013
P051,ACT_005
P051,ACT_006
P052,ACT_008
P052,ACT_005
P053,ACT_005
P053,ACT_006
P054,ACT_010
P054,ACT_005
P055,ACT_014
P055,ACT_005
P056,ACT_001
P056,ACT_002
P057,ACT_013
P058,ACT_008
P058,ACT_010
P059,ACT_013
P060,ACT_008
P060,ACT_005
P061,ACT_005
P061,ACT_008
P062,ACT_008
P062,ACT_005
P063,ACT_005
P063,ACT_008
P064,ACT_010
P065,ACT_008
P066,ACT_005
P066,ACT_006
P067,ACT_005
P067,ACT_009
P068,ACT_013
P069,ACT_005
P069,ACT_008
P070,ACT_001
P070,ACT_002
P071,ACT_008
P072,ACT_003
P073,ACT_013
P074,ACT_008
P074,ACT_005
P075,ACT_005
P075,ACT_008
P076,ACT_013
P077,ACT_008
P077,ACT_005
P078,ACT_015
P079,ACT_008
P079,ACT_016
P080,ACT_013
P081,ACT_001
P081,ACT_008
P082,ACT_005
P082,ACT_008
P083,ACT_013
P084,ACT_005
P084,ACT_008
P085,ACT_007
P085,ACT_005
P086,ACT_013
P087,ACT_013
P088,ACT_013
P089,ACT_017
P090,ACT_010
P090,ACT_008
P091,ACT_010
P092,ACT_013
P093,ACT_010
P093,ACT_008
P094,ACT_005
P094,ACT_006
P095,ACT_017
P096,ACT_013
P097,ACT_005
P097,ACT_008
P098,ACT_010
P098,ACT_008
P099,ACT_005
P099,ACT_006
P100,ACT_010
P101,ACT_008
P101,ACT_010
P102,ACT_005
P102,ACT_006
P103,ACT_001
P103,ACT_008
P104,ACT_005
P104,ACT_011
P105,ACT_010
P106,ACT_008
P106,ACT_010
P107,ACT_010
P107,ACT_008
P108,ACT_008
P109,ACT_010
P110,ACT_008
P111,ACT_008
P111,ACT_010
P112,ACT_001
P112,ACT_002
P113,ACT_004
P114,ACT_010
P115,ACT_005
P115,ACT_008
P116,ACT_008
P117,ACT_010
P118,ACT_005
P118,ACT_006
P119,ACT_008
P120,ACT_010
P120,ACT_008
P121,ACT_004
P122,ACT_005
P122,ACT_003
P123,ACT_013
P124,ACT_013
P125,ACT_005
P125,ACT_006
P126,ACT_018
P126,ACT_005
P127,ACT_005
P127,ACT_008
P128,ACT_005
P128,ACT_008
P129,ACT_019
P129,ACT_011
P130,ACT_019
P130,ACT_011
P131,ACT_013
P132,ACT_009
P132,ACT_004
P133,ACT_001
P133,ACT_002
P134,ACT_008
P135,ACT_013
P136,ACT_008
P137,ACT_013
P138,ACT_005
P138,ACT_008
P139,ACT_005
P139,ACT_008
P140,ACT_008
P141,ACT_010
P141,ACT_009
P142,ACT_020
P142,ACT_008
P143,ACT_021
P143,ACT_008
P144,ACT_008
P145,ACT_018
P145,ACT_005
P146,ACT_019
P146,ACT_011
P147,ACT_003
P147,ACT_004
P148,ACT_018
P148,ACT_022
P149,ACT_020
P149,ACT_008
P150,ACT_004
P151,ACT_008
P152,ACT_008
P153,ACT_001
P153,ACT_002
P154,ACT_008
P155,ACT_008
P156,ACT_008
P157,ACT_008
P158,ACT_008
P159,ACT_020
P159,ACT_008
P160,ACT_005
P160,ACT_023
P161,ACT_020
P161,ACT_008
P162,ACT_005
P162,ACT_006
P163,ACT_008
P164,ACT_010
P164,ACT_008
P165,ACT_005
P165,ACT_011
P166,ACT_009
P166,ACT_024
P167,ACT_004
P168,ACT_008
P169,ACT_008
P170,ACT_020
P170,ACT_008
P171,ACT_005
P171,ACT_011
P172,ACT_005
P172,ACT_011
P173,ACT_018
P173,ACT_005
P174,ACT_008
P175,ACT_020
P175,ACT_008
P176,ACT_008
P177,ACT_008
P178,ACT_003
P178,ACT_004
P179,ACT_005
P179,ACT_008
P180,ACT_008
P181,ACT_010
P182,ACT_005
P182,ACT_008
P183,ACT_008
P184,ACT_019
P184,ACT_011
P185,ACT_004
P186,ACT_010
P187,ACT_005
P187,ACT_008
P188,ACT_003
P188,ACT_004
P189,ACT_019
P189,ACT_011
P190,ACT_020
P190,ACT_008
P191,ACT_019
P191,ACT_011
P192,ACT_008
P193,ACT_008
P194,ACT_008
P195,ACT_005
P195,ACT_006
P196,ACT_018
P196,ACT_005
P197,ACT_008
P198,ACT_008
P199,ACT_018
P199,ACT_022
P200,ACT_018
P200,ACT_022
P201,ACT_019
P201,ACT_011
P202,ACT_005
P202,ACT_008
P203,ACT_020
P203,ACT_008
P204,ACT_018
P204,ACT_005
P205,ACT_018
P205,ACT_005
P206,ACT_020
P206,ACT_008
P207,ACT_019
P207,ACT_011
P208,ACT_008
P208,ACT_010
P209,ACT_018
P209,ACT_005
P210,ACT_005
P210,ACT_008
P211,ACT_008
P212,ACT_004
P213,ACT_020
P213,ACT_008
P214,ACT_018
P214,ACT_005
P215,ACT_005
P215,ACT_011
P216,ACT_019
P216,ACT_011
P217,ACT_008
P218,ACT_018
P218,ACT_005
P219,ACT_018
P219,ACT_005
P220,ACT_005
P220,ACT_011
P221,ACT_008
P222,ACT_008
P223,ACT_019
P223,ACT_011
P224,ACT_019
P224,ACT_011
P225,ACT_008
P226,ACT_008
P227,ACT_005
P227,ACT_011
P228,ACT_005
P228,ACT_011
P229,ACT_008
P230,ACT_018
P230,ACT_005
P231,ACT_018
P231,ACT_005
P232,ACT_020
P232,ACT_008
P233,ACT_005
P233,ACT_011
P234,ACT_018
P234,ACT_005
P235,ACT_003
P235,ACT_004
P236,ACT_005
P236,ACT_008
P237,ACT_005
P237,ACT_003
P238,ACT_019
P238,ACT_011
P239,ACT_001
P239,ACT_002
P240,ACT_019
P240,ACT_011
P241,ACT_008
P242,ACT_008
P243,ACT_008
P243,ACT_010
P244,ACT_018
P244,ACT_022
P245,ACT_018
P245,ACT_005
P246,ACT_018
P246,ACT_005
P247,ACT_005
P247,ACT_011
P248,ACT_005
P248,ACT_008
P249,ACT_003
P249,ACT_004
P250,ACT_005
P250,ACT_006
P251,ACT_001
P251,ACT_002
P252,ACT_005
P252,ACT_006
P253,ACT_005
P253,ACT_008
P254,ACT_008
P255,ACT_019
P255,ACT_011
P256,ACT_020
P256,ACT_008
P257,ACT_005
P257,ACT_006
P258,ACT_018
P258,ACT_022
P259,ACT_018
P259,ACT_005
P260,ACT_007
P260,ACT_018
P261,ACT_020
P261,ACT_008
P262,ACT_019
P262,ACT_011
P263,ACT_008
P264,ACT_004
P265,ACT_008
P266,ACT_005
P266,ACT_008
P267,ACT_005
P267,ACT_011
P268,ACT_005
P268,ACT_011
P269,ACT_008
P269,ACT_004
P270,ACT_010
P271,ACT_008
P272,ACT_019
P272,ACT_011
P273,ACT_008
P274,ACT_008
P275,ACT_005
P275,ACT_008
P276,ACT_018
P276,ACT_005
P277,ACT_004
P278,ACT_018
P278,ACT_005
P279,ACT_005
P279,ACT_011
P280,ACT_008
P281,ACT_018
P281,ACT_005
P282,ACT_018
P282,ACT_005
P283,ACT_004
P283,ACT_025
P284,ACT_018
P284,ACT_005
P285,ACT_018
P285,ACT_005
P286,ACT_005
P286,ACT_008
P287,ACT_005
P287,ACT_006
P288,ACT_026
P288,ACT_027
P289,ACT_003
P289,ACT_004
P290,ACT_018
P290,ACT_005
P291,ACT_008
P292,ACT_008
P293,ACT_004
P294,ACT_008
P295,ACT_020
P295,ACT_008
P296,ACT_020
P296,ACT_008
P297,ACT_020
P297,ACT_008
P298,ACT_020
P298,ACT_008
P299,ACT_004
P300,ACT_005
P300,ACT_011
P301,ACT_008
P302,ACT_018
P302,ACT_005
P303,ACT_018
P303,ACT_022
P304,ACT_005
P304,ACT_011
P305,ACT_028
P305,ACT_029
P306,ACT_018
P306,ACT_005
P307,ACT_019
P307,ACT_011
P308,ACT_018
P308,ACT_005
P309,ACT_005
P309,ACT_011
P310,ACT_005
P310,ACT_011
P311,ACT_018
P311,ACT_005
P312,ACT_005
P312,ACT_006
P313,ACT_018
P313,ACT_005
P314,ACT_008
P315,ACT_008
P316,ACT_019
P316,ACT_011
P317,ACT_005
P317,ACT_008
P318,ACT_018
P318,ACT_005
P319,ACT_005
P319,ACT_011
P320,ACT_008
P321,ACT_005
P321,ACT_011
P322,ACT_018
P322,ACT_005
P323,ACT_019
P323,ACT_011
P324,ACT_010
P324,ACT_008
P325,ACT_005
P325,ACT_011
P326,ACT_005
P326,ACT_011
P327,ACT_008
P328,ACT_008
P329,ACT_005
P329,ACT_011
P330,ACT_018
P330,ACT_005
P331,ACT_001
P331,ACT_002
P332,ACT_018
P332,ACT_005
P333,ACT_008
P334,ACT_005
P334,ACT_011
P335,ACT_008
P336,ACT_018
P336,ACT_005
P337,ACT_018
P337,ACT_005
P338,ACT_005
P338,ACT_008
P339,ACT_018
P339,ACT_005
P340,ACT_018
P340,ACT_005
P341,ACT_005
P341,ACT_006
P342,ACT_018
P342,ACT_005
P343,ACT_020
P343,ACT_008
P344,ACT_008
P345,ACT_008
P346,ACT_008
P347,ACT_020
P347,ACT_008
P348,ACT_008
P348,ACT_005
P349,ACT_018
P349,ACT_005
P350,ACT_005
P350,ACT_011
P351,ACT_030
P351,ACT_014
P352,ACT_008
P353,ACT_030
P353,ACT_014
P354,ACT_020
P354,ACT_008
P355,ACT_031
P355,ACT_032
P356,ACT_018
P356,ACT_005
P357,ACT_018
P357,ACT_005
P358,ACT_005
P358,ACT_011
P359,ACT_018
P359,ACT_005
P360,ACT_005
P360,ACT_008
P361,ACT_018
P361,ACT_005
P362,ACT_018
P362,ACT_005
P363,ACT_033
P364,ACT_018
P364,ACT_022
P365,ACT_008
P366,ACT_019
P366,ACT_011
P367,ACT_018
P367,ACT_005
P368,ACT_018
P368,ACT_005
P369,ACT_010
P369,ACT_008
P370,ACT_008
P370,ACT_010
P371,ACT_008
P372,ACT_018
P372,ACT_005
P373,ACT_019
P373,ACT_011
P374,ACT_018
P374,ACT_005
P375,ACT_008
P376,ACT_010
P376,ACT_008
P377,ACT_013
P378,ACT_005
P378,ACT_003
P379,ACT_019
P379,ACT_011
P380,ACT_008
P381,ACT_018
P381,ACT_005
P382,ACT_008
P383,ACT_008
P384,ACT_008
P385,ACT_008
P386,ACT_008
P387,ACT_008
P388,ACT_008
P389,ACT_008
P390,ACT_019
P390,ACT_011
P391,ACT_019
P391,ACT_011
P392,ACT_019
P392,ACT_011
P393,ACT_008
P394,ACT_008
P395,ACT_020
P395,ACT_008
P396,ACT_020
P396,ACT_008
P397,ACT_008
P398,ACT_005
P398,ACT_006
P399,ACT_005
P399,ACT_011
P400,ACT_018
P400,ACT_022
P401,ACT_005
P401,ACT_008
P402,ACT_018
P402,ACT_005
P403,ACT_008
P404,ACT_019
P404,ACT_011
P405,ACT_008
P406,ACT_018
P406,ACT_005
P407,ACT_019
P407,ACT_011
P408,ACT_008
P409,ACT_018
P409,ACT_005
P410,ACT_005
P410,ACT_011
P411,ACT_005
P411,ACT_011
P412,ACT_010
P412,ACT_008
P413,ACT_008
P414,ACT_018
P414,ACT_005
P415,ACT_005
P415,ACT_011
P416,ACT_001
P416,ACT_002
P417,ACT_018
P417,ACT_005
P418,ACT_018
P418,ACT_005
P419,ACT_018
P419,ACT_005
P420,ACT_008
P421,ACT_005
P421,ACT_008
P422,ACT_008
P423,ACT_005
P423,ACT_008
P424,ACT_019
P424,ACT_011
P425,ACT_018
P425,ACT_005
P426,ACT_003
P426,ACT_004
P427,ACT_018
P427,ACT_005
P428,ACT_008
P429,ACT_005
P429,ACT_014
P430,ACT_008
P431,ACT_005
P431,ACT_011
P432,ACT_005
P432,ACT_011
P433,ACT_010
P434,ACT_018
P434,ACT_005
P435,ACT_018
P435,ACT_005
P436,ACT_019
P436,ACT_011
P437,ACT_019
P437,ACT_011
P438,ACT_018
P438,ACT_005
P439,ACT_008
P440,ACT_005
P440,ACT_006
P441,ACT_018
P441,ACT_022
P442,ACT_005
P442,ACT_006
P443,ACT_018
P443,ACT_005
P444,ACT_008
P445,ACT_008
P446,ACT_001
P446,ACT_002
P447,ACT_034
P448,ACT_008
P449,ACT_005
P449,ACT_011
P450,ACT_008
P451,ACT_035
P452,ACT_019
P452,ACT_011
P453,ACT_018
P453,ACT_005
P454,ACT_018
P454,ACT_019
P455,ACT_008
P456,ACT_005
P456,ACT_011
P457,ACT_008
P458,ACT_005
P458,ACT_011
P459,ACT_010
P459,ACT_008
P460,ACT_018
P460,ACT_005
P461,ACT_010
P461,ACT_008
P462,ACT_005
P462,ACT_008
P463,ACT_008
P464,ACT_008
P465,ACT_018
P465,ACT_005
P466,ACT_019
P466,ACT_011
P467,ACT_005
P467,ACT_011
P468,ACT_008
P469,ACT_008
P470,ACT_008
P471,ACT_008
P472,ACT_008
P473,ACT_008
P474,ACT_008
P475,ACT_008
P476,ACT_005
P476,ACT_006
P477,ACT_018
P477,ACT_005
P478,ACT_005
P478,ACT_011
P479,ACT_018
P479,ACT_005
P480,ACT_001
P480,ACT_002
P481,ACT_008
P482,ACT_009
P482,ACT_004
P483,ACT_019
