placeId,region_id,relationship
P001,REG_제주시_용담이동,LOCATED_IN
P002,REG_서귀포시_서귀동,LOCATED_IN
P003,REG_제주시_이도일동,LOCATED_IN
P004,REG_제주시_조천읍,LOCATED_IN
P005,REG_서귀포시_성산읍,LOCATED_IN
P006,REG_제주시_한림읍,LOCATED_IN
P007,REG_서귀포시_안덕면,LOCATED_IN
P008,REG_제주시_이호일동,LOCATED_IN
P009,REG_서귀포시_성산읍,LOCATED_IN
P010,REG_서귀포시_성산읍,LOCATED_IN
P011,REG_제주시_구좌읍,LOCATED_IN
P012,REG_제주시_애월읍,LOCATED_IN
P013,REG_제주시_조천읍,LOCATED_IN
P014,REG_서귀포시_성산읍,LOCATED_IN
P015,REG_서귀포시_안덕면,LOCATED_IN
P016,REG_제주시_구좌읍,LOCATED_IN
P017,REG_서귀포시_안덕면,LOCATED_IN
P018,REG_서귀포시_안덕면,LOCATED_IN
P019,REG_서귀포시_색달동,LOCATED_IN
P020,REG_제주시_건입동,LOCATED_IN
P021,REG_서귀포시_중문동,LOCATED_IN
P022,REG_제주시_애월읍,LOCATED_IN
P023,REG_서귀포시_색달동,LOCATED_IN
P025,REG_서귀포시_색달동,LOCATED_IN
P026,REG_제주시_한림읍,LOCATED_IN
P027,REG_서귀포시_표선면,LOCATED_IN
P028,REG_서귀포시_표선면,LOCATED_IN
P029,REG_제주시_조천읍,LOCATED_IN
P030,REG_제주시_한림읍,LOCATED_IN
P031,REG_제주시_도두일동,LOCATED_IN
P032,REG_제주시_조천읍,LOCATED_IN
P033,REG_제주시_연동,LOCATED_IN
P034,REG_서귀포시_색달동,LOCATED_IN
P035,REG_제주시_한경면,LOCATED_IN
P036,REG_서귀포시_동홍동,LOCATED_IN
P037,REG_서귀포시_동홍동,LOCATED_IN
P038,REG_서귀포시_안덕면,LOCATED_IN
P039,REG_서귀포시_성산읍,LOCATED_IN
P040,REG_서귀포시_안덕면,LOCATED_IN
P041,REG_제주시_애월읍,LOCATED_IN
P042,REG_제주시_구좌읍,LOCATED_IN
P043,REG_제주시_애월읍,LOCATED_IN
P044,REG_서귀포시_표선면,LOCATED_IN
P045,REG_제주시_구좌읍,LOCATED_IN
P046,REG_제주시_용담이동,LOCATED_IN
P047,REG_제주시_노형동,LOCATED_IN
P048,REG_제주시_건입동,LOCATED_IN
P049,REG_제주시_애월읍,LOCATED_IN
P050,REG_서귀포시_남원읍,LOCATED_IN
P051,REG_제주시_삼양이동,LOCATED_IN
P052,REG_서귀포시_하효동,LOCATED_IN
P053,REG_제주시_구좌읍,LOCATED_IN
P054,REG_제주시_한림읍,LOCATED_IN
P055,REG_제주시_도두일동,LOCATED_IN
P056,REG_제주시_건입동,LOCATED_IN
P057,REG_서귀포시_안덕면,LOCATED_IN
P058,REG_서귀포시_안덕면,LOCATED_IN
P059,REG_제주시_회천동,LOCATED_IN
P060,REG_제주시_한경면,LOCATED_IN
P061,REG_제주시_구좌읍,LOCATED_IN
P062,REG_제주시_조천읍,LOCATED_IN
P063,REG_제주시_연동,LOCATED_IN
P064,REG_제주시_애월읍,LOCATED_IN
P065,REG_서귀포시_안덕면,LOCATED_IN
P066,REG_서귀포시_안덕면,LOCATED_IN
P067,REG_제주시_봉개동,LOCATED_IN
P068,REG_서귀포시_토평동,LOCATED_IN
P069,REG_서귀포시_남원읍,LOCATED_IN
P070,REG_서귀포시_성산읍,LOCATED_IN
P071,REG_제주시_해안동,LOCATED_IN
P072,REG_서귀포시_중문동,LOCATED_IN
P073,REG_제주시_외도이동,LOCATED_IN
P074,REG_제주시_조천읍,LOCATED_IN
P075,REG_제주시_한경면,LOCATED_IN
P076,REG_서귀포시_상예동,LOCATED_IN
P077,REG_서귀포시_중문동,LOCATED_IN
P078,REG_서귀포시_안덕면,LOCATED_IN
P079,REG_서귀포시_대포동,LOCATED_IN
P080,REG_서귀포시_중문동,LOCATED_IN
P081,REG_서귀포시_대정읍,LOCATED_IN
P082,REG_서귀포시_색달동,LOCATED_IN
P083,REG_서귀포시_색달동,LOCATED_IN
P084,REG_제주시_한림읍,LOCATED_IN
P085,REG_제주시_구좌읍,LOCATED_IN
P086,REG_서귀포시_호근동,LOCATED_IN
P087,REG_제주시_오등동,LOCATED_IN
P088,REG_제주시_조천읍,LOCATED_IN
P089,REG_서귀포시_표선면,LOCATED_IN
P090,REG_제주시_애월읍,LOCATED_IN
P091,REG_서귀포시_안덕면,LOCATED_IN
P092,REG_서귀포시_강정동,LOCATED_IN
P093,REG_제주시_애월읍,LOCATED_IN
P094,REG_제주시_구좌읍,LOCATED_IN
P095,REG_서귀포시_안덕면,LOCATED_IN
P096,REG_제주시_이도이동,LOCATED_IN
P097,REG_서귀포시_남원읍,LOCATED_IN
P098,REG_서귀포시_안덕면,LOCATED_IN
P099,REG_서귀포시_성산읍,LOCATED_IN
P100,REG_제주시_구좌읍,LOCATED_IN
P101,REG_서귀포시_표선면,LOCATED_IN
P102,REG_제주시_우도면,LOCATED_IN
P103,REG_제주시_우도면,LOCATED_IN
P104,REG_제주시_애월읍,LOCATED_IN
P105,REG_서귀포시_토평동,LOCATED_IN
P106,REG_서귀포시_표선면,LOCATED_IN
P107,REG_제주시_한림읍,LOCATED_IN
P108,REG_제주시_건입동,LOCATED_IN
P109,REG_서귀포시_표선면,LOCATED_IN
P110,REG_서귀포시_안덕면,LOCATED_IN
P111,REG_제주시_오등동,LOCATED_IN
P112,REG_서귀포시_성산읍,LOCATED_IN
P113,REG_서귀포시_서귀동,LOCATED_IN
P114,REG_서귀포시_성산읍,LOCATED_IN
P115,REG_서귀포시_남원읍,LOCATED_IN
P116,REG_서귀포시_안덕면,LOCATED_IN
P117,REG_제주시_우도면,LOCATED_IN
P118,REG_제주시_우도면,LOCATED_IN
P119,REG_서귀포시_법환동,LOCATED_IN
P120,REG_제주시_우도면,LOCATED_IN
P121,REG_서귀포시_색달동,LOCATED_IN
P122,REG_제주시_연동,LOCATED_IN
P123,REG_서귀포시_토평동,LOCATED_IN
P124,REG_서귀포시_서귀동,LOCATED_IN
P125,REG_서귀포시_색달동,LOCATED_IN
P126,REG_제주시_우도면,LOCATED_IN
P127,REG_서귀포시_안덕면,LOCATED_IN
P128,REG_서귀포시_상예동,LOCATED_IN
P129,REG_제주시_조천읍,LOCATED_IN
P130,REG_서귀포시_안덕면,LOCATED_IN
