profile_id,risk_id,relationship
VP_OLDER,RP_SLIP_TERRAIN,SENSITIVE_TO
VP_OLDER,RP_HEAT_02,SENSITIVE_TO
VP_OLDER,RP_MOUNTAIN_01,SENSITIVE_TO
VP_OLDER,RP_FALL_CLIFF,SENSITIVE_TO
VP_CHILD,RP_DROWN_01,SENSITIVE_TO
VP_CHILD,RP_ANIMAL_01,SENSITIVE_TO
VP_INFANT,RP_SLIP_TERRAIN,SENSITIVE_TO
VP_INFANT,RP_CROWD_01,SENSITIVE_TO
VP_RENTAL,RP_TRAFFIC_01,SENSITIVE_TO
VP_SOLO,RP_LOST_01,SENSITIVE_TO
VP_SOLO,RP_MOUNTAIN_01,SENSITIVE_TO
VP_WHEEL,RP_SLIP_TERRAIN,SENSITIVE_TO
VP_MOBILITY,RP_SLIP_TERRAIN,SENSITIVE_TO
VP_MOBILITY,RP_MOUNTAIN_01,SENSITIVE_TO
VP_FOREIGN,RP_LOST_01,SENSITIVE_TO
VP_FOREIGN,RP_TRAFFIC_01,SENSITIVE_TO
VP_VISUAL,RP_SLIP_TERRAIN,SENSITIVE_TO
VP_VISUAL,RP_FALL_CLIFF,SENSITIVE_TO
VP_VISUAL,RP_LOST_01,SENSITIVE_TO
VP_VISUAL,RP_NIGHT_01,SENSITIVE_TO
VP_VISUAL,RP_TRAFFIC_01,SENSITIVE_TO
VP_HEARING,RP_TRAFFIC_01,SENSITIVE_TO
VP_HEARING,RP_WAVE_02,SENSITIVE_TO
VP_HEARING,RP_TYPHOON_01,SENSITIVE_TO
VP_HEARING,RP_CROWD_01,SENSITIVE_TO
VP_DEVELOP,RP_CROWD_01,SENSITIVE_TO
VP_DEVELOP,RP_CROWD_02,SENSITIVE_TO
VP_DEVELOP,RP_LOST_01,SENSITIVE_TO
VP_DEVELOP,RP_NIGHT_01,SENSITIVE_TO
