risk_id,roadId,relationship
RP_FOG_01,RS_1100,APPLIES_TO_ROAD
RP_FOG_02,RS_1100,APPLIES_TO_ROAD
RP_FOG_03,RS_1100,APPLIES_TO_ROAD
RP_ICE_01,RS_1100,APPLIES_TO_ROAD
RP_RAIN_02,RS_1100,APPLIES_TO_ROAD
RP_TRAFFIC_01,RS_1100,APPLIES_TO_ROAD
RP_WIND_02,RS_1100,APPLIES_TO_ROAD
RP_ANIMAL_01,RS_516,APPLIES_TO_ROAD
RP_FOG_01,RS_516,APPLIES_TO_ROAD
RP_FOG_02,RS_516,APPLIES_TO_ROAD
RP_FOG_03,RS_516,APPLIES_TO_ROAD
RP_RAIN_02,RS_516,APPLIES_TO_ROAD
RP_TRAFFIC_01,RS_516,APPLIES_TO_ROAD
RP_WIND_02,RS_516,APPLIES_TO_ROAD
RP_FOG_01,RS_PEACE,APPLIES_TO_ROAD
RP_FOG_02,RS_PEACE,APPLIES_TO_ROAD
RP_FOG_03,RS_PEACE,APPLIES_TO_ROAD
RP_RAIN_02,RS_PEACE,APPLIES_TO_ROAD
RP_TRAFFIC_01,RS_PEACE,APPLIES_TO_ROAD
RP_WIND_02,RS_PEACE,APPLIES_TO_ROAD
RP_ANIMAL_01,RS_BIJARIM,APPLIES_TO_ROAD
RP_NIGHT_01,RS_BIJARIM,APPLIES_TO_ROAD
RP_RAIN_02,RS_BIJARIM,APPLIES_TO_ROAD
RP_WIND_02,RS_BIJARIM,APPLIES_TO_ROAD
RP_ANIMAL_01,RS_NAMJO,APPLIES_TO_ROAD
RP_FOG_01,RS_NAMJO,APPLIES_TO_ROAD
RP_FOG_02,RS_NAMJO,APPLIES_TO_ROAD
RP_FOG_03,RS_NAMJO,APPLIES_TO_ROAD
RP_RAIN_02,RS_NAMJO,APPLIES_TO_ROAD
RP_WIND_02,RS_NAMJO,APPLIES_TO_ROAD
RP_RAIN_02,RS_SANROK_S,APPLIES_TO_ROAD
RP_WIND_02,RS_SANROK_S,APPLIES_TO_ROAD
RP_RAIN_02,RS_SANROK_N,APPLIES_TO_ROAD
RP_WIND_02,RS_SANROK_N,APPLIES_TO_ROAD
RP_RAIN_02,RS_ILJU_E,APPLIES_TO_ROAD
RP_WIND_02,RS_ILJU_E,APPLIES_TO_ROAD
RP_RAIN_02,RS_ILJU_W,APPLIES_TO_ROAD
RP_WIND_02,RS_ILJU_W,APPLIES_TO_ROAD
RP_RAIN_02,RS_BEONYEONG,APPLIES_TO_ROAD
RP_TRAFFIC_01,RS_BEONYEONG,APPLIES_TO_ROAD
RP_WIND_02,RS_BEONYEONG,APPLIES_TO_ROAD
RP_RAIN_02,RS_AEJO,APPLIES_TO_ROAD
RP_WIND_02,RS_AEJO,APPLIES_TO_ROAD
RP_RAIN_02,RS_SEOSEONG,APPLIES_TO_ROAD
RP_WIND_02,RS_SEOSEONG,APPLIES_TO_ROAD
RP_RAIN_02,RS_CHEOMDAN,APPLIES_TO_ROAD
RP_WIND_02,RS_CHEOMDAN,APPLIES_TO_ROAD
RP_RAIN_02,RS_HAEMAJI,APPLIES_TO_ROAD
RP_TRAFFIC_01,RS_HAEMAJI,APPLIES_TO_ROAD
RP_WIND_02,RS_HAEMAJI,APPLIES_TO_ROAD
RP_RAIN_02,RS_JOHAM,APPLIES_TO_ROAD
RP_WIND_02,RS_JOHAM,APPLIES_TO_ROAD
