risk_id,placeId,relationship
RP_WIND_01,P004,APPLIES_TO
RP_WIND_01,P005,APPLIES_TO
RP_WIND_01,P006,APPLIES_TO
RP_WIND_01,P008,APPLIES_TO
RP_WIND_01,P010,APPLIES_TO
RP_WIND_01,P011,APPLIES_TO
RP_WIND_01,P012,APPLIES_TO
RP_WIND_01,P013,APPLIES_TO
RP_WIND_01,P022,APPLIES_TO
RP_WIND_01,P026,APPLIES_TO
RP_WIND_01,P028,APPLIES_TO
RP_WIND_01,P030,APPLIES_TO
RP_WIND_01,P035,APPLIES_TO
RP_WIND_01,P036,APPLIES_TO
RP_WIND_01,P038,APPLIES_TO
RP_WIND_01,P049,APPLIES_TO
RP_WIND_01,P051,APPLIES_TO
RP_WIND_01,P053,APPLIES_TO
RP_WIND_01,P055,APPLIES_TO
RP_WIND_01,P060,APPLIES_TO
RP_WIND_01,P066,APPLIES_TO
RP_WIND_01,P085,APPLIES_TO
RP_WIND_01,P094,APPLIES_TO
RP_WIND_01,P099,APPLIES_TO
RP_WIND_01,P102,APPLIES_TO
RP_WIND_01,P104,APPLIES_TO
RP_WIND_01,P118,APPLIES_TO
RP_WIND_01,P125,APPLIES_TO
RP_WIND_01,P126,APPLIES_TO
RP_WIND_01,P129,APPLIES_TO
RP_WIND_01,P130,APPLIES_TO
RP_WIND_01,P139,APPLIES_TO
RP_WIND_01,P145,APPLIES_TO
RP_WIND_01,P146,APPLIES_TO
RP_WIND_01,P162,APPLIES_TO
RP_WIND_01,P165,APPLIES_TO
RP_WIND_01,P171,APPLIES_TO
RP_WIND_01,P172,APPLIES_TO
RP_WIND_01,P173,APPLIES_TO
RP_WIND_01,P184,APPLIES_TO
RP_WIND_01,P189,APPLIES_TO
RP_WIND_01,P191,APPLIES_TO
RP_WIND_01,P195,APPLIES_TO
RP_WIND_01,P201,APPLIES_TO
RP_WIND_01,P204,APPLIES_TO
RP_WIND_01,P207,APPLIES_TO
RP_WIND_01,P215,APPLIES_TO
RP_WIND_01,P216,APPLIES_TO
RP_WIND_01,P218,APPLIES_TO
RP_WIND_01,P220,APPLIES_TO
RP_WIND_01,P223,APPLIES_TO
RP_WIND_01,P224,APPLIES_TO
RP_WIND_01,P227,APPLIES_TO
RP_WIND_01,P228,APPLIES_TO
RP_WIND_01,P233,APPLIES_TO
RP_WIND_01,P238,APPLIES_TO
RP_WIND_01,P240,APPLIES_TO
RP_WIND_01,P245,APPLIES_TO
RP_WIND_01,P247,APPLIES_TO
RP_WIND_01,P250,APPLIES_TO
RP_WIND_01,P252,APPLIES_TO
RP_WIND_01,P255,APPLIES_TO
RP_WIND_01,P257,APPLIES_TO
RP_WIND_01,P260,APPLIES_TO
RP_WIND_01,P262,APPLIES_TO
RP_WIND_01,P267,APPLIES_TO
RP_WIND_01,P268,APPLIES_TO
RP_WIND_01,P272,APPLIES_TO
RP_WIND_01,P276,APPLIES_TO
