risk_id,placeId,relationship
RP_WAVE_02,P014,APPLIES_TO
RP_WAVE_03,P014,APPLIES_TO
RP_WAVE_02,P015,APPLIES_TO
RP_WAVE_03,P015,APPLIES_TO
RP_WAVE_02,P020,APPLIES_TO
RP_WAVE_03,P020,APPLIES_TO
RP_WAVE_02,P035,APPLIES_TO
RP_WAVE_03,P035,APPLIES_TO
RP_WAVE_02,P049,APPLIES_TO
RP_WAVE_03,P049,APPLIES_TO
RP_WAVE_02,P055,APPLIES_TO
RP_WAVE_03,P055,APPLIES_TO
RP_WAVE_02,P056,APPLIES_TO
RP_WAVE_03,P056,APPLIES_TO
RP_WAVE_02,P104,APPLIES_TO
RP_WAVE_03,P104,APPLIES_TO
RP_WAVE_02,P112,APPLIES_TO
RP_WAVE_03,P112,APPLIES_TO
RP_WAVE_02,P114,APPLIES_TO
RP_WAVE_03,P114,APPLIES_TO
RP_WAVE_02,P133,APPLIES_TO
RP_WAVE_03,P133,APPLIES_TO
RP_WAVE_02,P153,APPLIES_TO
RP_WAVE_03,P153,APPLIES_TO
RP_WAVE_02,P165,APPLIES_TO
RP_WAVE_03,P165,APPLIES_TO
RP_WAVE_02,P186,APPLIES_TO
RP_WAVE_03,P186,APPLIES_TO
RP_WAVE_02,P239,APPLIES_TO
RP_WAVE_03,P239,APPLIES_TO
RP_WAVE_02,P247,APPLIES_TO
RP_WAVE_03,P247,APPLIES_TO
RP_WAVE_02,P251,APPLIES_TO
RP_WAVE_03,P251,APPLIES_TO
RP_WAVE_02,P279,APPLIES_TO
RP_WAVE_03,P279,APPLIES_TO
RP_WAVE_02,P300,APPLIES_TO
RP_WAVE_03,P300,APPLIES_TO
RP_WAVE_02,P304,APPLIES_TO
RP_WAVE_03,P304,APPLIES_TO
RP_WAVE_02,P321,APPLIES_TO
RP_WAVE_03,P321,APPLIES_TO
RP_WAVE_02,P331,APPLIES_TO
RP_WAVE_03,P331,APPLIES_TO
RP_WAVE_02,P334,APPLIES_TO
RP_WAVE_03,P334,APPLIES_TO
RP_WAVE_02,P351,APPLIES_TO
RP_WAVE_03,P351,APPLIES_TO
RP_WAVE_02,P353,APPLIES_TO
RP_WAVE_03,P353,APPLIES_TO
RP_WAVE_02,P410,APPLIES_TO
RP_WAVE_03,P410,APPLIES_TO
RP_WAVE_02,P411,APPLIES_TO
RP_WAVE_03,P411,APPLIES_TO
RP_WAVE_02,P429,APPLIES_TO
RP_WAVE_03,P429,APPLIES_TO
RP_WAVE_02,P431,APPLIES_TO
RP_WAVE_03,P431,APPLIES_TO
RP_WAVE_02,P432,APPLIES_TO
RP_WAVE_03,P432,APPLIES_TO
RP_WAVE_02,P433,APPLIES_TO
RP_WAVE_03,P433,APPLIES_TO
RP_WAVE_02,P446,APPLIES_TO
RP_WAVE_03,P446,APPLIES_TO
RP_WAVE_02,P458,APPLIES_TO
RP_WAVE_03,P458,APPLIES_TO
RP_WAVE_02,P480,APPLIES_TO
RP_WAVE_03,P480,APPLIES_TO
RP_WAVE_02,P487,APPLIES_TO
RP_WAVE_03,P487,APPLIES_TO
RP_WAVE_02,P493,APPLIES_TO
RP_WAVE_03,P493,APPLIES_TO
RP_WAVE_02,P495,APPLIES_TO
RP_WAVE_03,P495,APPLIES_TO
RP_WAVE_02,P537,APPLIES_TO
RP_WAVE_03,P537,APPLIES_TO
RP_WAVE_02,P541,APPLIES_TO
RP_WAVE_03,P541,APPLIES_TO
RP_WAVE_02,P560,APPLIES_TO
RP_WAVE_03,P560,APPLIES_TO
RP_WAVE_02,P856,APPLIES_TO
RP_WAVE_03,P856,APPLIES_TO
RP_WAVE_02,P871,APPLIES_TO
RP_WAVE_03,P871,APPLIES_TO
RP_WAVE_02,P872,APPLIES_TO
RP_WAVE_03,P872,APPLIES_TO
RP_WAVE_02,P873,APPLIES_TO
RP_WAVE_03,P873,APPLIES_TO
RP_WAVE_02,P874,APPLIES_TO
RP_WAVE_03,P874,APPLIES_TO
RP_WAVE_02,P875,APPLIES_TO
RP_WAVE_03,P875,APPLIES_TO
RP_WAVE_02,P876,APPLIES_TO
RP_WAVE_03,P876,APPLIES_TO
RP_WAVE_02,P877,APPLIES_TO
RP_WAVE_03,P877,APPLIES_TO
RP_WAVE_02,P885,APPLIES_TO
RP_WAVE_03,P885,APPLIES_TO
RP_WAVE_02,P891,APPLIES_TO
RP_WAVE_03,P891,APPLIES_TO
RP_WAVE_02,P943,APPLIES_TO
RP_WAVE_03,P943,APPLIES_TO
RP_WAVE_02,P946,APPLIES_TO
RP_WAVE_03,P946,APPLIES_TO
RP_WAVE_02,P948,APPLIES_TO
RP_WAVE_03,P948,APPLIES_TO
RP_WAVE_02,P952,APPLIES_TO
RP_WAVE_03,P952,APPLIES_TO
RP_WAVE_02,P955,APPLIES_TO
RP_WAVE_03,P955,APPLIES_TO
RP_WAVE_02,P956,APPLIES_TO
RP_WAVE_03,P956,APPLIES_TO
RP_WAVE_02,P957,APPLIES_TO
RP_WAVE_03,P957,APPLIES_TO
RP_WAVE_02,P958,APPLIES_TO
RP_WAVE_03,P958,APPLIES_TO
RP_WAVE_02,P959,APPLIES_TO
RP_WAVE_03,P959,APPLIES_TO
RP_WAVE_02,P960,APPLIES_TO
RP_WAVE_03,P960,APPLIES_TO
RP_WAVE_02,P962,APPLIES_TO
RP_WAVE_03,P962,APPLIES_TO
RP_WAVE_02,P963,APPLIES_TO
RP_WAVE_03,P963,APPLIES_TO
RP_WAVE_02,P966,APPLIES_TO
RP_WAVE_03,P966,APPLIES_TO
RP_WAVE_02,P967,APPLIES_TO
RP_WAVE_03,P967,APPLIES_TO
RP_WAVE_02,P968,APPLIES_TO
RP_WAVE_03,P968,APPLIES_TO
RP_WAVE_02,P971,APPLIES_TO
RP_WAVE_03,P971,APPLIES_TO
RP_WAVE_02,P972,APPLIES_TO
RP_WAVE_03,P972,APPLIES_TO
RP_WAVE_02,P976,APPLIES_TO
RP_WAVE_03,P976,APPLIES_TO
