risk_id,action_id,relationship,decision_level
RP_WIND_01,ACT_CAUTION,RESULTS_IN,주의
RP_WIND_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_WIND_03,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_RAIN_01,ACT_CAUTION,RESULTS_IN,주의
RP_RAIN_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_RAIN_03,ACT_AVOID,RESULTS_IN,회피
RP_FLASHFLOOD_01,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_HEAT_01,ACT_CAUTION,RESULTS_IN,주의
RP_HEAT_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_HEAT_03,ACT_AVOID,RESULTS_IN,회피
RP_ICE_01,ACT_CAUTION,RESULTS_IN,주의
RP_COLD_01,ACT_AVOID,RESULTS_IN,회피
RP_WAVE_01,ACT_CAUTION,RESULTS_IN,주의
RP_WAVE_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_WAVE_03,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_SNOW_01,ACT_CAUTION,RESULTS_IN,주의
RP_SNOW_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_AIR_01,ACT_CAUTION,RESULTS_IN,주의
RP_AIR_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_CROWD_01,ACT_CAUTION,RESULTS_IN,주의
RP_CROWD_02,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_NIGHT_01,ACT_CAUTION,RESULTS_IN,주의
RP_LOST_01,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_DROWN_01,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_MACHINE_01,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_ANIMAL_01,ACT_CAUTION,RESULTS_IN,주의
RP_OUTDOOR_01,ACT_CAUTION,RESULTS_IN,주의
RP_TRAFFIC_01,ACT_CAUTION,RESULTS_IN,주의
RP_MOUNTAIN_01,ACT_CAUTION,RESULTS_IN,주의
RP_FALL_01,ACT_CAUTION,RESULTS_IN,주의
RP_FIRE_01,ACT_CAUTION,RESULTS_IN,주의
RP_CO_01,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_ROCKFALL_01,ACT_CAUTION,RESULTS_IN,주의
RP_TYPHOON_01,ACT_AVOID,RESULTS_IN,회피
RP_FALL_CLIFF,ACT_TIMESHIFT,RESULTS_IN,시간조정
RP_SLIP_TERRAIN,ACT_CAUTION,RESULTS_IN,주의
