risk_id,factor,param_key,etri_forecast_col,etri_alert_col,operator,threshold_low,threshold_high,unit,zone_condition,risk_level,available_in_etri
RP_WIND_01,wind_speed,$wind_speed,wind_speed,wind_speed_max_instant_ms,range,7.0,10.0,m/s,"해안,오름,전망대",주의,Y
RP_WIND_02,wind_speed,$wind_speed,wind_speed,wind_speed_max_instant_ms,range,10.0,14.0,m/s,,위험,Y
RP_WIND_03,wind_speed,$wind_speed,wind_speed,wind_speed_max_instant_ms,>=,14.0,,m/s,,통제,Y
RP_RAIN_01,rain_mm_h,$rain_mm_h,precipitation,rain_acc_12h_mm,range,3.0,10.0,mm/h,,주의,Y
RP_RAIN_02,rain_mm_h,$rain_mm_h,precipitation,rain_acc_12h_mm,range,10.0,20.0,mm/h,,위험,Y
RP_RAIN_03,rain_mm_h,$rain_mm_h,precipitation,rain_acc_12h_mm,>=,20.0,,mm/h,,매우위험,Y
RP_FLASHFLOOD_01,upstream_region,$upstream_region,,,>=,10.0,,mm/h,,위험,N
RP_HEAT_01,apparent_temp,$apparent_temp,temperature,,range,32.0,33.0,C,,주의,Y
RP_HEAT_02,apparent_temp,$apparent_temp,temperature,,range,33.0,35.0,C,,위험,Y
RP_HEAT_03,apparent_temp,$apparent_temp,temperature,,>=,35.0,,C,,통제,Y
RP_ICE_01,min_temp,$min_temp,temperature,,<=,,0.0,C,,주의,Y
RP_COLD_01,min_temp,$min_temp,temperature,,<=,,-12.0,C,,통제,Y
RP_WAVE_01,wave_height,$wave_height,wave_height,,range,1.0,2.0,m,"갯바위,방파제",주의,Y
RP_WAVE_02,wave_height,$wave_height,wave_height,,range,2.0,3.0,m,,위험,Y
RP_WAVE_03,wave_height,$wave_height,wave_height,,>=,3.0,,m,,통제,Y
RP_SNOW_01,,$None,,,range,1.0,5.0,cm,,주의,N
RP_SNOW_02,,$None,,,>=,5.0,,cm,,위험,N
RP_AIR_01,cai,$cai,,,range,101.0,250.0,CAI,,주의,N
RP_AIR_02,cai,$cai,,,>=,251.0,,CAI,,위험,N
RP_CROWD_01,occupancy,$occupancy,,,range,60.0,80.0,percent,,주의,N
RP_CROWD_02,occupancy,$occupancy,,,>=,80.0,,percent,,위험,N
RP_NIGHT_01,minutes_to_sunset,$minutes_to_sunset,,,special,,,minute_offset,"오름,중산간,해안",주의,N
RP_LOST_01,after_sunset,$after_sunset,,,special,,,minute_offset,"오름,중산간",위험,N
